Posicao,Clube,J,V,E,D,Gols,SG,Pts,Ano,Rodada
1,Palmeiras,1,1,0,0,4:0,4,3,2019,1
2,Ceará,1,1,0,0,4:0,4,3,2019,1
3,Athletico-PR,1,1,0,0,4:1,3,3,2019,1
4,Flamengo,1,1,0,0,3:1,2,3,2019,1
5,São Paulo,1,1,0,0,2:0,2,3,2019,1
6,Chapecoense,1,1,0,0,2:0,2,3,2019,1
7,Bahia,1,1,0,0,3:2,1,3,2019,1
8,Atlético-MG,1,1,0,0,2:1,1,3,2019,1
9,Santos,1,1,0,0,2:1,1,3,2019,1
10,Goiás,1,1,0,0,1:0,1,3,2019,1
11,Corinthians,1,0,0,1,2:3,-1,0,2019,1
12,Grêmio,1,0,0,1,1:2,-1,0,2019,1
13,Avaí,1,0,0,1,1:2,-1,0,2019,1
14,Fluminense,1,0,0,1,0:1,-1,0,2019,1
15,Cruzeiro,1,0,0,1,1:3,-2,0,2019,1
16,Internacional,1,0,0,1,0:2,-2,0,2019,1
17,Botafogo,1,0,0,1,0:2,-2,0,2019,1
18,Vasco da Gama,1,0,0,1,1:4,-3,0,2019,1
19,Fortaleza,1,0,0,1,0:4,-4,0,2019,1
20,CSA,1,0,0,1,0:4,-4,0,2019,1
1,São Paulo,2,2,0,0,4:1,3,6,2019,2
2,Atlético-MG,2,2,0,0,4:2,2,6,2019,2
3,Santos,2,2,0,0,4:2,2,6,2019,2
4,Palmeiras,2,1,1,0,5:1,4,4,2019,2
5,Ceará,2,1,0,1,4:1,3,3,2019,2
6,Athletico-PR,2,1,0,1,5:3,2,3,2019,2
7,Flamengo,2,1,0,1,4:3,1,3,2019,2
8,Chapecoense,2,1,0,1,2:1,1,3,2019,2
9,Bahia,2,1,0,1,5:5,0,3,2019,2
10,Corinthians,2,1,0,1,3:3,0,3,2019,2
11,Goiás,2,1,0,1,2:2,0,3,2019,2
12,Botafogo,2,1,0,1,3:4,-1,3,2019,2
13,Internacional,2,1,0,1,2:3,-1,3,2019,2
14,Cruzeiro,2,1,0,1,2:3,-1,3,2019,2
15,Fortaleza,2,1,0,1,2:5,-3,3,2019,2
16,Grêmio,2,0,1,1,2:3,-1,1,2019,2
17,Avaí,2,0,1,1,2:3,-1,1,2019,2
18,CSA,2,0,1,1,1:5,-4,1,2019,2
19,Fluminense,2,0,0,2,1:3,-2,0,2019,2
20,Vasco da Gama,2,0,0,2,2:6,-4,0,2019,2
1,Atlético-MG,3,3,0,0,6:3,3,9,2019,3
2,Palmeiras,3,2,1,0,6:1,5,7,2019,3
3,São Paulo,3,2,1,0,5:2,3,7,2019,3
4,Santos,3,2,1,0,4:2,2,7,2019,3
5,Bahia,3,2,0,1,6:5,1,6,2019,3
6,Cruzeiro,3,2,0,1,4:4,0,6,2019,3
7,Botafogo,3,2,0,1,4:4,0,6,2019,3
8,Athletico-PR,3,1,1,1,6:4,2,4,2019,3
9,Flamengo,3,1,1,1,5:4,1,4,2019,3
10,Chapecoense,3,1,1,1,3:2,1,4,2019,3
11,Corinthians,3,1,1,1,4:4,0,4,2019,3
12,Ceará,3,1,0,2,5:3,2,3,2019,3
13,Fluminense,3,1,0,2,6:7,-1,3,2019,3
14,Goiás,3,1,0,2,3:4,-1,3,2019,3
15,Internacional,3,1,0,2,2:4,-2,3,2019,3
16,Fortaleza,3,1,0,2,2:6,-4,3,2019,3
17,CSA,3,0,2,1,1:5,-4,2,2019,3
18,Grêmio,3,0,1,2,6:8,-2,1,2019,3
19,Avaí,3,0,1,2,2:4,-2,1,2019,3
20,Vasco da Gama,3,0,1,2,3:7,-4,1,2019,3
1,Palmeiras,4,3,1,0,8:1,7,10,2019,4
2,Santos,4,3,1,0,7:2,5,10,2019,4
3,São Paulo,4,3,1,0,6:2,4,10,2019,4
4,Atlético-MG,4,3,0,1,6:5,1,9,2019,4
5,Botafogo,4,3,0,1,5:4,1,9,2019,4
6,Athletico-PR,4,2,1,1,7:4,3,7,2019,4
7,Flamengo,4,2,1,1,7:5,2,7,2019,4
8,Bahia,4,2,0,2,6:6,0,6,2019,4
9,Internacional,4,2,0,2,5:5,0,6,2019,4
10,Goiás,4,2,0,2,5:5,0,6,2019,4
11,Cruzeiro,4,2,0,2,5:7,-2,6,2019,4
12,Corinthians,4,1,2,1,4:4,0,5,2019,4
13,Chapecoense,4,1,1,2,4:4,0,4,2019,4
14,Ceará,4,1,0,3,6:5,1,3,2019,4
15,Fluminense,4,1,0,3,6:8,-2,3,2019,4
16,Fortaleza,4,1,0,3,2:7,-5,3,2019,4
17,CSA,4,0,3,1,1:5,-4,3,2019,4
18,Grêmio,4,0,2,2,6:8,-2,2,2019,4
19,Avaí,4,0,2,2,2:4,-2,2,2019,4
20,Vasco da Gama,4,0,1,3,3:10,-7,1,2019,4
1,Palmeiras,5,4,1,0,12:1,11,13,2019,5
2,Atlético-MG,5,4,0,1,8:6,2,12,2019,5
3,São Paulo,5,3,2,0,6:2,4,11,2019,5
4,Santos,5,3,1,1,7:6,1,10,2019,5
5,Internacional,5,3,0,2,7:5,2,9,2019,5
6,Goiás,5,3,0,2,6:5,1,9,2019,5
7,Botafogo,5,3,0,2,5:5,0,9,2019,5
8,Corinthians,5,2,2,1,6:4,2,8,2019,5
9,Flamengo,5,2,1,2,8:7,1,7,2019,5
10,Athletico-PR,5,2,1,2,7:6,1,7,2019,5
11,Bahia,5,2,1,2,6:6,0,7,2019,5
12,Ceará,5,2,0,3,8:6,2,6,2019,5
13,Fluminense,5,2,0,3,10:9,1,6,2019,5
14,Fortaleza,5,2,0,3,5:8,-3,6,2019,5
15,Cruzeiro,5,2,0,3,6:11,-5,6,2019,5
16,Chapecoense,5,1,1,3,5:7,-2,4,2019,5
17,Avaí,5,0,3,2,3:5,-2,3,2019,5
18,CSA,5,0,3,2,1:7,-6,3,2019,5
19,Grêmio,5,0,2,3,7:10,-3,2,2019,5
20,Vasco da Gama,5,0,2,3,4:11,-7,2,2019,5
1,Palmeiras,6,5,1,0,13:1,12,16,2019,6
2,Atlético-MG,6,4,0,2,8:7,1,12,2019,6
3,Corinthians,6,3,2,1,7:4,3,11,2019,6
4,São Paulo,6,3,2,1,6:3,3,11,2019,6
5,Santos,6,3,2,1,7:6,1,11,2019,6
6,Flamengo,6,3,1,2,11:9,2,10,2019,6
7,Internacional,6,3,1,2,7:5,2,10,2019,6
8,Bahia,6,3,1,2,9:8,1,10,2019,6
9,Ceará,6,3,0,3,10:7,3,9,2019,6
10,Goiás,6,3,0,3,6:6,0,9,2019,6
11,Botafogo,6,3,0,3,5:6,-1,9,2019,6
12,Athletico-PR,6,2,1,3,9:9,0,7,2019,6
13,Chapecoense,6,2,1,3,7:8,-1,7,2019,6
14,Fortaleza,6,2,1,3,6:9,-3,7,2019,6
15,Fluminense,6,2,0,4,12:12,0,6,2019,6
16,Cruzeiro,6,2,0,4,7:13,-6,6,2019,6
17,CSA,6,1,3,2,2:7,-5,6,2019,6
18,Grêmio,6,1,2,3,8:10,-2,5,2019,6
19,Avaí,6,0,3,3,4:7,-3,3,2019,6
20,Vasco da Gama,6,0,3,3,5:12,-7,3,2019,6
1,Palmeiras,7,6,1,0,15:2,13,19,2019,7
2,Atlético-MG,7,5,0,2,12:7,5,15,2019,7
3,Corinthians,7,4,2,1,9:4,5,14,2019,7
4,Santos,7,4,2,1,8:6,2,14,2019,7
5,Flamengo,7,4,1,2,13:9,4,13,2019,7
6,Internacional,7,4,1,2,9:5,4,13,2019,7
7,Bahia,7,4,1,2,10:8,2,13,2019,7
8,Botafogo,7,4,0,3,6:6,0,12,2019,7
9,São Paulo,7,3,3,1,7:4,3,12,2019,7
10,Athletico-PR,7,3,1,3,12:9,3,10,2019,7
11,Ceará,7,3,0,4,10:8,2,9,2019,7
12,Goiás,7,3,0,4,6:8,-2,9,2019,7
13,Chapecoense,7,2,1,4,8:10,-2,7,2019,7
14,Fortaleza,7,2,1,4,6:11,-5,7,2019,7
15,Cruzeiro,7,2,1,4,8:14,-6,7,2019,7
16,Fluminense,7,2,0,5,12:15,-3,6,2019,7
17,CSA,7,1,3,3,2:11,-9,6,2019,7
18,Grêmio,7,1,2,4,8:11,-3,5,2019,7
