Posicao,Clube,J,V,E,D,Gols,SG,Pts,Ano,Rodada
1,São Paulo,1,1,0,0,4:0,4,3,2022,1
2,Coritiba,1,1,0,0,3:0,3,3,2022,1
3,Corinthians,1,1,0,0,3:1,2,3,2022,1
4,Atlético-MG,1,1,0,0,2:0,2,3,2022,1
5,Ceará,1,1,0,0,3:2,1,3,2022,1
6,Cuiabá,1,1,0,0,1:0,1,3,2022,1
7,Avaí,1,1,0,0,1:0,1,3,2022,1
8,Juventude,1,0,1,0,2:2,0,1,2022,1
9,Bragantino,1,0,1,0,2:2,0,1,2022,1
10,Atlético-GO,1,0,1,0,1:1,0,1,2022,1
11,Flamengo,1,0,1,0,1:1,0,1,2022,1
12,Fluminense,1,0,1,0,0:0,0,1,2022,1
13,Santos,1,0,1,0,0:0,0,1,2022,1
14,Palmeiras,1,0,0,1,2:3,-1,0,2022,1
15,América-MG,1,0,0,1,0:1,-1,0,2022,1
16,Fortaleza,1,0,0,1,0:1,-1,0,2022,1
17,Botafogo,1,0,0,1,1:3,-2,0,2022,1
18,Internacional,1,0,0,1,0:2,-2,0,2022,1
19,Goiás,1,0,0,1,0:3,-3,0,2022,1
20,Athletico-PR,1,0,0,1,0:4,-4,0,2022,1
1,Corinthians,2,2,0,0,6:1,5,6,2022,2
2,Atlético-MG,2,2,0,0,3:0,3,6,2022,2
3,Bragantino,2,1,1,0,6:2,4,4,2022,2
4,Flamengo,2,1,1,0,4:2,2,4,2022,2
5,Santos,2,1,1,0,2:1,1,4,2022,2
6,Fluminense,2,1,1,0,1:0,1,4,2022,2
7,São Paulo,2,1,0,1,5:3,2,3,2022,2
8,América-MG,2,1,0,1,4:2,2,3,2022,2
9,Coritiba,2,1,0,1,4:2,2,3,2022,2
10,Botafogo,2,1,0,1,4:4,0,3,2022,2
11,Cuiabá,2,1,0,1,1:1,0,3,2022,2
12,Ceará,2,1,0,1,4:5,-1,3,2022,2
13,Internacional,2,1,0,1,2:3,-1,3,2022,2
14,Avaí,2,1,0,1,1:3,-2,3,2022,2
15,Palmeiras,2,0,1,1,3:4,-1,1,2022,2
16,Juventude,2,0,1,1,3:6,-3,1,2022,2
17,Goiás,2,0,1,1,1:4,-3,1,2022,2
18,Atlético-GO,2,0,1,1,1:5,-4,1,2022,2
19,Fortaleza,2,0,0,2,1:3,-2,0,2022,2
20,Athletico-PR,2,0,0,2,0:5,-5,0,2022,2
1,Santos,3,2,1,0,5:1,4,7,2022,3
2,Atlético-MG,3,2,1,0,5:2,3,7,2022,3
3,Corinthians,3,2,0,1,6:4,2,6,2022,3
4,Cuiabá,3,2,0,1,2:1,1,6,2022,3
5,Ceará,3,2,0,1,5:5,0,6,2022,3
6,Internacional,3,2,0,1,3:3,0,6,2022,3
7,Avaí,3,2,0,1,4:5,-1,6,2022,3
8,Bragantino,3,1,2,0,7:3,4,5,2022,3
9,Palmeiras,3,1,1,1,6:4,2,4,2022,3
10,São Paulo,3,1,1,1,6:4,2,4,2022,3
11,Coritiba,3,1,1,1,6:4,2,4,2022,3
12,Flamengo,3,1,1,1,4:3,1,4,2022,3
13,Botafogo,3,1,1,1,5:5,0,4,2022,3
14,Fluminense,3,1,1,1,1:1,0,4,2022,3
15,América-MG,3,1,0,2,4:5,-1,3,2022,3
16,Athletico-PR,3,1,0,2,1:5,-4,3,2022,3
17,Atlético-GO,3,0,2,1,2:6,-4,2,2022,3
18,Juventude,3,0,1,2,3:7,-4,1,2022,3
19,Goiás,3,0,1,2,3:7,-4,1,2022,3
20,Fortaleza,3,0,0,3,1:4,-3,0,2022,3
1,Corinthians,4,3,0,1,7:4,3,9,2022,4
2,Bragantino,4,2,2,0,8:3,5,8,2022,4
3,Atlético-MG,4,2,2,0,7:4,3,8,2022,4
4,Coritiba,4,2,1,1,9:6,3,7,2022,4
5,São Paulo,4,2,1,1,8:5,3,7,2022,4
6,Santos,4,2,1,1,6:3,3,7,2022,4
7,Cuiabá,4,2,1,1,3:2,1,7,2022,4
8,Internacional,4,2,1,1,3:3,0,7,2022,4
9,Avaí,4,2,1,1,4:5,-1,7,2022,4
10,América-MG,4,2,0,2,5:5,0,6,2022,4
11,Ceará,4,2,0,2,5:6,-1,6,2022,4
12,Palmeiras,4,1,2,1,6:4,2,5,2022,4
13,Flamengo,4,1,2,1,4:3,1,5,2022,4
14,Botafogo,4,1,2,1,6:6,0,5,2022,4
15,Fluminense,4,1,1,2,3:4,-1,4,2022,4
16,Athletico-PR,4,1,0,3,1:6,-5,3,2022,4
17,Atlético-GO,4,0,3,1,3:7,-4,3,2022,4
18,Goiás,4,0,2,2,5:9,-4,2,2022,4
19,Juventude,4,0,2,2,4:8,-4,2,2022,4
20,Fortaleza,4,0,0,4,1:5,-4,0,2022,4
1,Corinthians,5,4,0,1,8:4,4,12,2022,5
2,Santos,5,3,1,1,10:4,6,10,2022,5
3,Avaí,5,3,1,1,6:6,0,10,2022,5
4,América-MG,5,3,0,2,7:6,1,9,2022,5
5,Bragantino,5,2,2,1,8:4,4,8,2022,5
6,São Paulo,5,2,2,1,9:6,3,8,2022,5
7,Atlético-MG,5,2,2,1,8:6,2,8,2022,5
8,Botafogo,5,2,2,1,7:6,1,8,2022,5
9,Internacional,5,2,2,1,4:4,0,8,2022,5
10,Coritiba,5,2,1,2,10:8,2,7,2022,5
11,Cuiabá,5,2,1,2,4:6,-2,7,2022,5
12,Ceará,5,2,0,3,5:7,-2,6,2022,5
13,Athletico-PR,5,2,0,3,2:6,-4,6,2022,5
14,Palmeiras,5,1,3,1,7:5,2,6,2022,5
15,Flamengo,5,1,2,2,4:4,0,5,2022,5
16,Fluminense,5,1,2,2,4:5,-1,5,2022,5
17,Goiás,5,1,2,2,6:9,-3,5,2022,5
18,Juventude,5,0,3,2,5:9,-4,3,2022,5
19,Atlético-GO,5,0,3,2,3:8,-5,3,2022,5
20,Fortaleza,5,0,1,4,2:6,-4,1,2022,5
1,Corinthians,6,4,1,1,10:6,4,13,2022,6
2,São Paulo,6,3,2,1,11:7,4,11,2022,6
3,Atlético-MG,6,3,2,1,10:6,4,11,2022,6
4,Botafogo,6,3,2,1,10:7,3,11,2022,6
5,Santos,6,3,1,2,10:5,5,10,2022,6
6,Coritiba,6,3,1,2,11:8,3,10,2022,6
7,Avaí,6,3,1,2,7:8,-1,10,2022,6
8,América-MG,6,3,0,3,7:7,0,9,2022,6
9,Palmeiras,6,2,3,1,9:5,4,9,2022,6
10,Internacional,6,2,3,1,6:6,0,9,2022,6
11,Bragantino,6,2,2,2,8:6,2,8,2022,6
12,Fluminense,6,2,2,2,6:6,0,8,2022,6
13,Goiás,6,2,2,2,7:9,-2,8,2022,6
14,Ceará,6,2,1,3,7:9,-2,7,2022,6
15,Cuiabá,6,2,1,3,5:8,-3,7,2022,6
16,Athletico-PR,6,2,0,4,3:8,-5,6,2022,6
17,Flamengo,6,1,3,2,6:6,0,6,2022,6
18,Juventude,6,1,3,2,7:10,-3,6,2022,6
19,Atlético-GO,6,0,3,3,3:10,-7,3,2022,6
20,Fortaleza,6,0,1,5,3:9,-6,1,2022,6
1,Corinthians,7,4,2,1,11:7,4,14,2022,7
2,Palmeiras,7,3,3,1,12:5,7,12,2022,7
3,São Paulo,7,3,3,1,12:8,4,12,2022,7
4,Atlético-MG,7,3,3,1,11:7,4,12,2022,7
5,Botafogo,7,3,3,1,11:8,3,12,2022,7
6,Santos,7,3,2,2,10:5,5,11,2022,7
7,Fluminense,7,3,2,2,7:6,1,11,2022,7
8,Coritiba,7,3,1,3,11:10,1,10,2022,7
9,América-MG,7,3,1,3,8:8,0,10,2022,7
10,Avaí,7,3,1,3,8:10,-2,10,2022,7
11,Internacional,7,2,4,1,7:7,0,10,2022,7
12,Athletico-PR,7,3,0,4,5:9,-4,9,2022,7
13,Bragantino,7,2,3,2,9:7,2,9,2022,7
14,Flamengo,7,2,3,2,7:6,1,9,2022,7
15,Ceará,7,2,2,3,7:9,-2,8,2022,7
16,Goiás,7,2,2,3,7:10,-3,8,2022,7
17,Cuiabá,7,2,2,3,6:9,-3,8,2022,7
18,Atlético-GO,7,1,3,3,5:10,-5,6,2022,7
19,Juventude,7,1,3,3,7:13,-6,6,2022,7
20,Fortaleza,7,0,1,6,3:10,-7,1,2022,7
1,Palmeiras,8,4,3,1,13:5,8,15,2022,8
