Posicao,Clube,J,V,E,D,Gols,SG,Pts,Ano,Rodada
1,Atlético-PR,1,1,0,0,5:1,4,3,2018,1
2,América-MG,1,1,0,0,3:0,3,3,2018,1
3,Santos,1,1,0,0,2:0,2,3,2018,1
4,Internacional,1,1,0,0,2:0,2,3,2018,1
5,Corinthians,1,1,0,0,2:1,1,3,2018,1
6,Vasco da Gama,1,1,0,0,2:1,1,3,2018,1
7,Grêmio,1,1,0,0,1:0,1,3,2018,1
8,São Paulo,1,1,0,0,1:0,1,3,2018,1
9,Flamengo,1,0,1,0,2:2,0,1,2018,1
10,Vitória,1,0,1,0,2:2,0,1,2018,1
11,Palmeiras,1,0,1,0,1:1,0,1,2018,1
12,Botafogo,1,0,1,0,1:1,0,1,2018,1
13,Atlético-MG,1,0,0,1,1:2,-1,0,2018,1
14,Fluminense,1,0,0,1,1:2,-1,0,2018,1
15,Cruzeiro,1,0,0,1,0:1,-1,0,2018,1
16,Paraná,1,0,0,1,0:1,-1,0,2018,1
17,Bahia,1,0,0,1,0:2,-2,0,2018,1
18,Ceará,1,0,0,1,0:2,-2,0,2018,1
19,Sport,1,0,0,1,0:3,-3,0,2018,1
20,Chapecoense,1,0,0,1,1:5,-4,0,2018,1
1,Corinthians,2,2,0,0,6:1,5,6,2018,2
2,Atlético-PR,2,1,1,0,5:1,4,4,2018,2
3,Flamengo,2,1,1,0,4:2,2,4,2018,2
4,Vasco da Gama,2,1,1,0,3:2,1,4,2018,2
5,Palmeiras,2,1,1,0,2:1,1,4,2018,2
6,Grêmio,2,1,1,0,1:0,1,4,2018,2
7,São Paulo,2,1,1,0,1:0,1,4,2018,2
8,América-MG,2,1,0,1,3:2,1,3,2018,2
9,Santos,2,1,0,1,2:1,1,3,2018,2
10,Internacional,2,1,0,1,2:1,1,3,2018,2
11,Atlético-MG,2,1,0,1,3:3,0,3,2018,2
12,Fluminense,2,1,0,1,2:2,0,3,2018,2
13,Bahia,2,1,0,1,1:2,-1,3,2018,2
14,Botafogo,2,0,2,0,2:2,0,2,2018,2
15,Vitória,2,0,1,1,3:4,-1,1,2018,2
16,Ceará,2,0,1,1,0:2,-2,1,2018,2
17,Sport,2,0,1,1,1:4,-3,1,2018,2
18,Chapecoense,2,0,1,1,2:6,-4,1,2018,2
19,Cruzeiro,2,0,0,2,0:2,-2,0,2018,2
20,Paraná,2,0,0,2,0:5,-5,0,2018,2
1,Flamengo,3,2,1,0,7:2,5,7,2018,3
2,Corinthians,3,2,0,1,6:2,4,6,2018,3
3,América-MG,3,2,0,1,5:3,2,6,2018,3
4,Atlético-MG,3,2,0,1,4:3,1,6,2018,3
5,Atlético-PR,3,1,2,0,5:1,4,5,2018,3
6,Botafogo,3,1,2,0,4:3,1,5,2018,3
7,Vasco da Gama,3,1,2,0,4:3,1,5,2018,3
8,Palmeiras,3,1,2,0,2:1,1,5,2018,3
9,São Paulo,3,1,2,0,2:1,1,5,2018,3
10,Santos,3,1,1,1,3:2,1,4,2018,3
11,Internacional,3,1,1,1,2:1,1,4,2018,3
12,Fluminense,3,1,1,1,3:3,0,4,2018,3
13,Grêmio,3,1,1,1,2:2,0,4,2018,3
14,Bahia,3,1,1,1,1:2,-1,4,2018,3
15,Sport,3,1,1,1,3:5,-2,4,2018,3
16,Chapecoense,3,0,2,1,2:6,-4,2,2018,3
17,Vitória,3,0,1,2,4:6,-2,1,2018,3
18,Cruzeiro,3,0,1,2,0:2,-2,1,2018,3
19,Ceará,3,0,1,2,0:5,-5,1,2018,3
20,Paraná,3,0,0,3,1:7,-6,0,2018,3
1,Flamengo,4,3,1,0,9:2,7,10,2018,4
