Posicao,Clube,J,V,E,D,Gols,SG,Pts,Ano,Rodada
1,Bahia,1,1,0,0,3:0,3,3,2021,1
2,Bragantino,1,1,0,0,3:0,3,3,2021,1
3,Ceará,1,1,0,0,3:2,1,3,2021,1
4,Fortaleza,1,1,0,0,2:1,1,3,2021,1
5,Athletico-PR,1,1,0,0,1:0,1,3,2021,1
6,Atlético-GO,1,1,0,0,1:0,1,3,2021,1
7,Flamengo,1,1,0,0,1:0,1,3,2021,1
8,Cuiabá,1,0,1,0,2:2,0,1,2021,1
9,Internacional,1,0,1,0,2:2,0,1,2021,1
10,Juventude,1,0,1,0,2:2,0,1,2021,1
11,Sport,1,0,1,0,2:2,0,1,2021,1
12,Fluminense,1,0,1,0,0:0,0,1,2021,1
13,São Paulo,1,0,1,0,0:0,0,1,2021,1
14,Grêmio,1,0,0,1,2:3,-1,0,2021,1
15,Atlético-MG,1,0,0,1,1:2,-1,0,2021,1
16,América-MG,1,0,0,1,0:1,-1,0,2021,1
17,Corinthians,1,0,0,1,0:1,-1,0,2021,1
18,Palmeiras,1,0,0,1,0:1,-1,0,2021,1
19,Chapecoense,1,0,0,1,0:3,-3,0,2021,1
20,Santos,1,0,0,1,0:3,-3,0,2021,1
1,Fortaleza,2,2,0,0,7:2,5,6,2021,2
2,Athletico-PR,2,2,0,0,4:0,4,6,2021,2
3,Atlético-GO,2,2,0,0,3:0,3,6,2021,2
4,Bahia,2,1,1,0,6:3,3,4,2021,2
5,Bragantino,2,1,1,0,6:3,3,4,2021,2
6,Flamengo,2,1,1,0,3:2,1,4,2021,2
7,Fluminense,2,1,1,0,1:0,1,4,2021,2
8,Palmeiras,2,1,0,1,3:2,1,3,2021,2
9,Atlético-MG,2,1,0,1,2:2,0,3,2021,2
10,Corinthians,2,1,0,1,1:1,0,3,2021,2
11,Ceará,2,1,0,1,4:5,-1,3,2021,2
12,Santos,2,1,0,1,3:4,-1,3,2021,2
13,Grêmio,2,0,1,1,4:5,-1,1,2021,2
14,Cuiabá,2,0,1,1,2:3,-1,1,2021,2
15,Sport,2,0,1,1,2:3,-1,1,2021,2
