Posicao,Clube,J,V,E,D,Gols,SG,Pts,Ano,Rodada
1,Newcastle,1,1,0,0,3:1,2,3,2007,1
2,Manchester City,1,1,0,0,2:0,2,3,2007,1
3,Chelsea,1,1,0,0,3:2,1,3,2007,1
4,Liverpool,1,1,0,0,2:1,1,3,2007,1
5,FC Arsenal,1,1,0,0,2:1,1,3,2007,1
6,Everton,1,1,0,0,2:1,1,3,2007,1
7,Blackburn,1,1,0,0,2:1,1,3,2007,1
8,AFC Sunderland,1,1,0,0,1:0,1,3,2007,1
9,FC Portsmouth,1,0,1,0,2:2,0,1,2007,1
10,Derby,1,0,1,0,2:2,0,1,2007,1
11,Man Utd.,1,0,1,0,0:0,0,1,2007,1
12,Reading,1,0,1,0,0:0,0,1,2007,1
13,Birmingham,1,0,0,1,2:3,-1,0,2007,1
14,Aston Villa,1,0,0,1,1:2,-1,0,2007,1
15,Middlesbrough,1,0,0,1,1:2,-1,0,2007,1
16,FC Fulham,1,0,0,1,1:2,-1,0,2007,1
17,Wigan,1,0,0,1,1:2,-1,0,2007,1
18,Tottenham,1,0,0,1,0:1,-1,0,2007,1
19,Bolton,1,0,0,1,1:3,-2,0,2007,1
20,West Ham,1,0,0,1,0:2,-2,0,2007,1
1,Liverpool,2,2,0,0,6:1,5,6,2007,2
2,Everton,2,2,0,0,5:2,3,6,2007,2
3,Manchester City,2,2,0,0,3:0,3,6,2007,2
4,Chelsea,2,2,0,0,5:3,2,6,2007,2
5,Newcastle,2,1,1,0,4:2,2,4,2007,2
6,FC Arsenal,2,1,1,0,3:2,1,4,2007,2
7,AFC Sunderland,2,1,1,0,3:2,1,4,2007,2
8,Aston Villa,2,1,0,1,5:2,3,3,2007,2
9,FC Fulham,2,1,0,1,3:3,0,3,2007,2
10,Wigan,2,1,0,1,2:2,0,3,2007,2
11,Blackburn,2,1,0,1,2:5,-3,3,2007,2
12,FC Portsmouth,2,0,2,0,3:3,0,2,2007,2
13,Man Utd.,2,0,2,0,1:1,0,2,2007,2
