Posicao,Clube,J,V,E,D,Gols,SG,Pts,Ano,Rodada
1,Avaí,1,1,0,0,6:1,5,3,2010,1
2,Corinthians,1,1,0,0,2:1,1,3,2010,1
3,Cruzeiro,1,1,0,0,2:1,1,3,2010,1
4,Atlético-MG,1,1,0,0,2:1,1,3,2010,1
5,Palmeiras,1,1,0,0,1:0,1,3,2010,1
6,Guarani,1,1,0,0,1:0,1,3,2010,1
7,Ceará,1,1,0,0,1:0,1,3,2010,1
8,Santos,1,0,1,0,3:3,0,1,2010,1
9,Botafogo,1,0,1,0,3:3,0,1,2010,1
10,São Paulo,1,0,1,0,1:1,0,1,2010,1
11,Flamengo,1,0,1,0,1:1,0,1,2010,1
12,Atlético-GO,1,0,1,0,0:0,0,1,2010,1
13,Grêmio,1,0,1,0,0:0,0,1,2010,1
14,Internacional,1,0,0,1,1:2,-1,0,2010,1
15,Vasco da Gama,1,0,0,1,1:2,-1,0,2010,1
16,Atlético-PR,1,0,0,1,1:2,-1,0,2010,1
17,Vitória,1,0,0,1,0:1,-1,0,2010,1
18,Fluminense,1,0,0,1,0:1,-1,0,2010,1
19,Goiás,1,0,0,1,0:1,-1,0,2010,1
20,Barueri,1,0,0,1,1:6,-5,0,2010,1
1,Corinthians,2,2,0,0,4:2,2,6,2010,2
2,Avaí,2,1,1,0,8:3,5,4,2010,2
3,Botafogo,2,1,1,0,5:4,1,4,2010,2
4,Cruzeiro,2,1,1,0,4:3,1,4,2010,2
5,Guarani,2,1,1,0,3:2,1,4,2010,2
6,Ceará,2,1,1,0,2:1,1,4,2010,2
7,Palmeiras,2,1,1,0,1:0,1,4,2010,2
8,Internacional,2,1,0,1,4:4,0,3,2010,2
9,Fluminense,2,1,0,1,1:1,0,3,2010,2
10,Barueri,2,1,0,1,5:6,-1,3,2010,2
11,Atlético-MG,2,1,0,1,2:5,-3,3,2010,2
12,Santos,2,0,2,0,4:4,0,2,2010,2
13,Flamengo,2,0,2,0,2:2,0,2,2010,2
14,Atlético-PR,2,0,1,1,3:4,-1,1,2010,2
15,São Paulo,2,0,1,1,2:3,-1,1,2010,2
16,Vitória,2,0,1,1,1:2,-1,1,2010,2
17,Vasco da Gama,2,0,1,1,1:2,-1,1,2010,2
18,Grêmio,2,0,1,1,1:2,-1,1,2010,2
19,Atlético-GO,2,0,1,1,0:1,-1,1,2010,2
20,Goiás,2,0,0,2,2:4,-2,0,2010,2
1,Corinthians,3,3,0,0,5:2,3,9,2010,3
2,Avaí,3,2,1,0,10:3,7,7,2010,3
3,Botafogo,3,2,1,0,8:4,4,7,2010,3
4,Palmeiras,3,2,1,0,5:2,3,7,2010,3
5,Ceará,3,2,1,0,3:1,2,7,2010,3
