Posicao,Clube,J,V,E,D,Gols,SG,Pts,Ano,Rodada
1,Flamengo,1,1,0,0,3:1,2,3,2008,1
2,Cruzeiro,1,1,0,0,2:0,2,3,2008,1
3,Botafogo,1,1,0,0,2:0,2,3,2008,1
4,Coritiba,1,1,0,0,2:0,2,3,2008,1
5,Náutico,1,1,0,0,2:1,1,3,2008,1
6,Grêmio,1,1,0,0,1:0,1,3,2008,1
7,Atlético-PR,1,1,0,0,1:0,1,3,2008,1
8,Internacional,1,1,0,0,1:0,1,3,2008,1
9,Figueirense,1,0,1,0,5:5,0,1,2008,1
10,Portuguesa,1,0,1,0,5:5,0,1,2008,1
11,Fluminense,1,0,1,0,0:0,0,1,2008,1
12,Atlético-MG,1,0,1,0,0:0,0,1,2008,1
13,Goiás,1,0,0,1,1:2,-1,0,2008,1
14,São Paulo,1,0,0,1,0:1,-1,0,2008,1
15,Vasco da Gama,1,0,0,1,0:1,-1,0,2008,1
16,Ipatinga FC,1,0,0,1,0:1,-1,0,2008,1
17,Santos,1,0,0,1,1:3,-2,0,2008,1
18,Palmeiras,1,0,0,1,0:2,-2,0,2008,1
19,Sport,1,0,0,1,0:2,-2,0,2008,1
20,Vitória,1,0,0,1,0:2,-2,0,2008,1
1,Náutico,2,2,0,0,4:1,3,6,2008,2
2,Cruzeiro,2,2,0,0,3:0,3,6,2008,2
3,Flamengo,2,1,1,0,3:1,2,4,2008,2
4,Figueirense,2,1,1,0,7:6,1,4,2008,2
5,Atlético-PR,2,1,1,0,2:1,1,4,2008,2
6,Grêmio,2,1,1,0,1:0,1,4,2008,2
7,Santos,2,1,0,1,5:3,2,3,2008,2
8,Vasco da Gama,2,1,0,1,3:2,1,3,2008,2
9,Coritiba,2,1,0,1,3:2,1,3,2008,2
10,Botafogo,2,1,0,1,2:1,1,3,2008,2
11,Internacional,2,1,0,1,2:2,0,3,2008,2
12,Palmeiras,2,1,0,1,2:3,-1,3,2008,2
13,Atlético-MG,2,0,2,0,1:1,0,2,2008,2
14,Goiás,2,0,1,1,2:3,-1,1,2008,2
15,São Paulo,2,0,1,1,1:2,-1,1,2008,2
16,Portuguesa,2,0,1,1,6:8,-2,1,2008,2
17,Fluminense,2,0,1,1,0:2,-2,1,2008,2
18,Sport,2,0,1,1,0:2,-2,1,2008,2
19,Vitória,2,0,1,1,0:2,-2,1,2008,2
20,Ipatinga FC,2,0,0,2,0:5,-5,0,2008,2
1,Cruzeiro,3,3,0,0,7:0,7,9,2008,3
2,Flamengo,3,2,1,0,5:2,3,7,2008,3
3,Grêmio,3,2,1,0,3:0,3,7,2008,3
4,Náutico,3,2,0,1,4:3,1,6,2008,3
5,Atlético-PR,3,1,2,0,3:2,1,5,2008,3
6,Vitória,3,1,1,1,4:2,2,4,2008,3
7,Vasco da Gama,3,1,1,1,4:3,1,4,2008,3
8,Coritiba,3,1,1,1,4:3,1,4,2008,3
9,Botafogo,3,1,1,1,3:2,1,4,2008,3
10,Palmeiras,3,1,1,1,3:4,-1,4,2008,3
11,Sport,3,1,1,1,2:3,-1,4,2008,3
12,Figueirense,3,1,1,1,7:10,-3,4,2008,3
13,Internacional,3,1,0,2,3:4,-1,3,2008,3
14,Santos,3,1,0,2,5:7,-2,3,2008,3
15,Atlético-MG,3,0,3,0,2:2,0,3,2008,3
16,Goiás,3,0,2,1,3:4,-1,2,2008,3
17,São Paulo,3,0,2,1,2:3,-1,2,2008,3
18,Portuguesa,3,0,2,1,7:9,-2,2,2008,3
19,Fluminense,3,0,1,2,1:4,-3,1,2008,3
20,Ipatinga FC,3,0,1,2,1:6,-5,1,2008,3
1,Cruzeiro,4,3,1,0,8:1,7,10,2008,4
2,Flamengo,4,3,1,0,6:2,4,10,2008,4
3,Náutico,4,3,0,1,7:3,4,9,2008,4
4,Vasco da Gama,4,2,1,1,6:4,2,7,2008,4
5,Grêmio,4,2,1,1,4:2,2,7,2008,4
6,Palmeiras,4,2,1,1,4:4,0,7,2008,4
7,Atlético-MG,4,1,3,0,4:2,2,6,2008,4
8,Coritiba,4,1,2,1,5:4,1,5,2008,4
9,Atlético-PR,4,1,2,1,3:3,0,5,2008,4
10,Sport,4,1,2,1,3:4,-1,5,2008,4
11,Figueirense,4,1,2,1,7:10,-3,5,2008,4
12,Vitória,4,1,1,2,4:4,0,4,2008,4
13,Internacional,4,1,1,2,4:5,-1,4,2008,4
14,Santos,4,1,1,2,5:7,-2,4,2008,4
15,Botafogo,4,1,1,2,3:5,-2,4,2008,4
16,Ipatinga FC,4,1,1,2,3:6,-3,4,2008,4
17,Goiás,4,0,3,1,3:4,-1,3,2008,4
18,São Paulo,4,0,3,1,2:3,-1,3,2008,4
19,Portuguesa,4,0,2,2,7:11,-4,2,2008,4
20,Fluminense,4,0,1,3,1:5,-4,1,2008,4
1,Flamengo,5,4,1,0,11:2,9,13,2008,5
2,Cruzeiro,5,4,1,0,9:1,8,13,2008,5
3,Náutico,5,3,1,1,7:3,4,10,2008,5
4,Grêmio,5,3,1,1,6:3,3,10,2008,5
5,Atlético-PR,5,2,2,1,8:3,5,8,2008,5
6,Sport,5,2,2,1,5:4,1,8,2008,5
7,Vasco da Gama,5,2,1,2,6:5,1,7,2008,5
8,Vitória,5,2,1,2,5:4,1,7,2008,5
9,Botafogo,5,2,1,2,5:6,-1,7,2008,5
10,Palmeiras,5,2,1,2,4:6,-2,7,2008,5
11,São Paulo,5,1,3,1,7:4,3,6,2008,5
12,Atlético-MG,5,1,3,1,5:7,-2,6,2008,5
13,Coritiba,5,1,2,2,6:6,0,5,2008,5
14,Portuguesa,5,1,2,2,10:12,-2,5,2008,5
15,Ipatinga FC,5,1,2,2,3:6,-3,5,2008,5
16,Figueirense,5,1,2,2,7:15,-8,5,2008,5
17,Santos,5,1,1,3,5:8,-3,4,2008,5
18,Internacional,5,1,1,3,5:8,-3,4,2008,5
19,Goiás,5,0,3,2,3:9,-6,3,2008,5
20,Fluminense,5,0,1,4,2:7,-5,1,2008,5
1,Flamengo,6,4,1,1,13:6,7,13,2008,6
2,Grêmio,6,4,1,1,9:3,6,13,2008,6
3,Cruzeiro,6,4,1,1,11:6,5,13,2008,6
4,Náutico,6,3,2,1,8:4,4,11,2008,6
5,Palmeiras,6,3,1,2,9:8,1,10,2008,6
6,São Paulo,6,2,3,1,11:6,5,9,2008,6
7,Atlético-MG,6,2,3,1,9:9,0,9,2008,6
8,Atlético-PR,6,2,2,2,8:4,4,8,2008,6
9,Vasco da Gama,6,2,2,2,7:6,1,8,2008,6
10,Vitória,6,2,2,2,5:4,1,8,2008,6
11,Portuguesa,6,2,2,2,11:12,-1,8,2008,6
12,Sport,6,2,2,2,6:7,-1,8,2008,6
13,Figueirense,6,2,2,2,10:16,-6,8,2008,6
14,Internacional,6,2,1,3,7:9,-2,7,2008,6
15,Botafogo,6,2,1,3,6:8,-2,7,2008,6
16,Coritiba,6,1,3,2,6:6,0,6,2008,6
17,Santos,6,1,2,3,6:9,-3,5,2008,6
18,Ipatinga FC,6,1,2,3,5:10,-5,5,2008,6
19,Goiás,6,0,3,3,3:12,-9,3,2008,6
20,Fluminense,6,0,2,4,3:8,-5,2,2008,6
1,Flamengo,7,5,1,1,16:7,9,16,2008,7
2,Grêmio,7,5,1,1,12:3,9,16,2008,7
3,Cruzeiro,7,5,1,1,14:6,8,16,2008,7
4,Náutico,7,4,2,1,10:5,5,14,2008,7
5,Palmeiras,7,4,1,2,11:8,3,13,2008,7
6,São Paulo,7,3,3,1,12:6,6,12,2008,7
7,Vitória,7,3,2,2,7:5,2,11,2008,7
8,Portuguesa,7,3,2,2,12:12,0,11,2008,7
9,Coritiba,7,2,3,2,8:7,1,9,2008,7
10,Atlético-MG,7,2,3,2,10:11,-1,9,2008,7
11,Atlético-PR,7,2,2,3,8:7,1,8,2008,7
12,Vasco da Gama,7,2,2,3,7:8,-1,8,2008,7
13,Sport,7,2,2,3,6:8,-2,8,2008,7
14,Figueirense,7,2,2,3,10:19,-9,8,2008,7
15,Internacional,7,2,1,4,8:11,-3,7,2008,7
16,Botafogo,7,2,1,4,6:9,-3,7,2008,7
17,Goiás,7,1,3,3,7:12,-5,6,2008,7
18,Santos,7,1,2,4,6:13,-7,5,2008,7
19,Ipatinga FC,7,1,2,4,6:13,-7,5,2008,7
20,Fluminense,7,0,2,5,4:10,-6,2,2008,7
1,Flamengo,8,6,1,1,18:8,10,19,2008,8
2,Grêmio,8,5,2,1,13:4,9,17,2008,8
3,Cruzeiro,8,5,2,1,15:7,8,17,2008,8
4,Palmeiras,8,5,1,2,13:8,5,16,2008,8
5,Vitória,8,4,2,2,10:5,5,14,2008,8
6,Náutico,8,4,2,2,10:7,3,14,2008,8
7,São Paulo,8,3,4,1,13:7,6,13,2008,8
