Posicao,Clube,J,V,E,D,Gols,SG,Pts,Ano,Rodada
1,Man Utd.,1,1,0,0,5:1,4,3,2006,1
2,Chelsea,1,1,0,0,3:0,3,3,2006,1
3,FC Portsmouth,1,1,0,0,3:0,3,3,2006,1
4,West Ham,1,1,0,0,3:1,2,3,2006,1
5,Bolton,1,1,0,0,2:0,2,3,2006,1
6,Reading,1,1,0,0,3:2,1,3,2006,1
7,Everton,1,1,0,0,2:1,1,3,2006,1
8,Newcastle,1,1,0,0,2:1,1,3,2006,1
9,FC Arsenal,1,0,1,0,1:1,0,1,2006,1
10,Liverpool,1,0,1,0,1:1,0,1,2006,1
11,Aston Villa,1,0,1,0,1:1,0,1,2006,1
12,Sheff Utd,1,0,1,0,1:1,0,1,2006,1
13,Middlesbrough,1,0,0,1,2:3,-1,0,2006,1
14,Wigan,1,0,0,1,1:2,-1,0,2006,1
15,Watford,1,0,0,1,1:2,-1,0,2006,1
16,Charlton,1,0,0,1,1:3,-2,0,2006,1
17,Tottenham,1,0,0,1,0:2,-2,0,2006,1
18,Manchester City,1,0,0,1,0:3,-3,0,2006,1
19,Blackburn,1,0,0,1,0:3,-3,0,2006,1
20,FC Fulham,1,0,0,1,1:5,-4,0,2006,1
1,Man Utd.,2,2,0,0,8:1,7,6,2006,2
2,FC Portsmouth,2,1,1,0,3:0,3,4,2006,2
3,West Ham,2,1,1,0,4:2,2,4,2006,2
4,Liverpool,2,1,1,0,3:1,2,4,2006,2
5,Bolton,2,1,1,0,3:1,2,4,2006,2
6,Everton,2,1,1,0,3:2,1,4,2006,2
7,Aston Villa,2,1,1,0,3:2,1,4,2006,2
8,FC Arsenal,2,1,1,0,2:1,1,4,2006,2
9,Chelsea,2,1,0,1,4:2,2,3,2006,2
10,Middlesbrough,2,1,0,1,4:4,0,3,2006,2
11,Reading,2,1,0,1,4:4,0,3,2006,2
12,Tottenham,2,1,0,1,2:2,0,3,2006,2
13,Newcastle,2,1,0,1,2:3,-1,3,2006,2
14,Watford,2,0,1,1,2:3,-1,1,2006,2
15,Sheff Utd,2,0,1,1,1:3,-2,1,2006,2
16,Blackburn,2,0,1,1,1:4,-3,1,2006,2
17,Manchester City,2,0,1,1,0:3,-3,1,2006,2
18,FC Fulham,2,0,1,1,2:6,-4,1,2006,2
19,Wigan,2,0,0,2,1:3,-2,0,2006,2
20,Charlton,2,0,0,2,1:6,-5,0,2006,2
1,Man Utd.,3,3,0,0,10:2,8,9,2006,3
2,FC Portsmouth,3,2,1,0,7:0,7,7,2006,3
3,Everton,3,2,1,0,5:2,3,7,2006,3
4,Liverpool,3,2,1,0,5:2,3,7,2006,3
5,Aston Villa,3,2,1,0,5:2,3,7,2006,3
6,Chelsea,3,2,0,1,6:2,4,6,2006,3
7,West Ham,3,1,1,1,5:4,1,4,2006,3
8,Bolton,3,1,1,1,3:3,0,4,2006,3
9,FC Arsenal,3,1,1,1,2:2,0,4,2006,3
10,Manchester City,3,1,1,1,1:3,-2,4,2006,3
11,FC Fulham,3,1,1,1,3:6,-3,4,2006,3
12,Reading,3,1,0,2,4:5,-1,3,2006,3
13,Wigan,3,1,0,2,2:3,-1,3,2006,3
14,Tottenham,3,1,0,2,2:4,-2,3,2006,3
15,Charlton,3,1,0,2,3:6,-3,3,2006,3
16,Newcastle,3,1,0,2,2:5,-3,3,2006,3
17,Middlesbrough,3,1,0,2,4:8,-4,3,2006,3
18,Watford,3,0,1,2,3:5,-2,1,2006,3
19,Sheff Utd,3,0,1,2,1:4,-3,1,2006,3
20,Blackburn,3,0,1,2,1:6,-5,1,2006,3
1,Man Utd.,4,4,0,0,11:2,9,12,2006,4
2,FC Portsmouth,4,3,1,0,8:0,8,10,2006,4
3,Everton,4,3,1,0,8:2,6,10,2006,4
4,Chelsea,4,3,0,1,8:3,5,9,2006,4
5,Aston Villa,4,2,2,0,6:3,3,8,2006,4
6,Bolton,4,2,1,1,4:3,1,7,2006,4
7,Liverpool,4,2,1,1,5:5,0,7,2006,4
8,FC Fulham,4,2,1,1,5:7,-2,7,2006,4
9,Reading,4,2,0,2,5:5,0,6,2006,4
10,West Ham,4,1,2,1,6:5,1,5,2006,4
11,FC Arsenal,4,1,2,1,3:3,0,5,2006,4
12,Manchester City,4,1,1,2,1:4,-3,4,2006,4
13,Middlesbrough,4,1,1,2,5:9,-4,4,2006,4
14,Wigan,4,1,0,3,2:4,-2,3,2006,4
15,Tottenham,4,1,0,3,2:5,-3,3,2006,4
16,Charlton,4,1,0,3,4:8,-4,3,2006,4
17,Newcastle,4,1,0,3,3:7,-4,3,2006,4
18,Sheff Utd,4,0,2,2,1:4,-3,2,2006,4
19,Blackburn,4,0,2,2,1:6,-5,2,2006,4
20,Watford,4,0,1,3,3:6,-3,1,2006,4
1,FC Portsmouth,5,4,1,0,9:0,9,13,2006,5
2,Man Utd.,5,4,0,1,11:3,8,12,2006,5
3,Chelsea,5,4,0,1,9:3,6,12,2006,5
4,Everton,5,3,2,0,10:4,6,11,2006,5
5,Aston Villa,5,2,3,0,6:3,3,9,2006,5
6,Reading,5,3,0,2,7:6,1,9,2006,5
