Posicao,Clube,J,V,E,D,Gols,SG,Pts,Ano,Rodada
1,Cruzeiro,1,1,0,0,5:0,5,3,2013,1
2,Criciúma,1,1,0,0,3:1,2,3,2013,1
3,Grêmio,1,1,0,0,2:0,2,3,2013,1
4,São Paulo,1,1,0,0,2:0,2,3,2013,1
5,Coritiba,1,1,0,0,2:1,1,3,2013,1
6,Fluminense,1,1,0,0,2:1,1,3,2013,1
7,Vasco da Gama,1,1,0,0,1:0,1,3,2013,1
8,Vitória,1,0,1,0,2:2,0,1,2013,1
9,Internacional,1,0,1,0,2:2,0,1,2013,1
10,Corinthians,1,0,1,0,1:1,0,1,2013,1
11,Botafogo,1,0,1,0,1:1,0,1,2013,1
12,Santos,1,0,1,0,0:0,0,1,2013,1
13,Flamengo,1,0,1,0,0:0,0,1,2013,1
14,Atlético-MG,1,0,0,1,1:2,-1,0,2013,1
15,Atlético-PR,1,0,0,1,1:2,-1,0,2013,1
16,Portuguesa,1,0,0,1,0:1,-1,0,2013,1
17,Bahia,1,0,0,1,1:3,-2,0,2013,1
18,Ponte Preta,1,0,0,1,0:2,-2,0,2013,1
19,Náutico,1,0,0,1,0:2,-2,0,2013,1
20,Goiás,1,0,0,1,0:5,-5,0,2013,1
1,São Paulo,2,2,0,0,7:1,6,6,2013,2
2,Cruzeiro,2,1,1,0,7:2,5,4,2013,2
3,Vitória,2,1,1,0,5:2,3,4,2013,2
4,Internacional,2,1,1,0,4:2,2,4,2013,2
5,Botafogo,2,1,1,0,3:2,1,4,2013,2
6,Coritiba,2,1,1,0,2:1,1,4,2013,2
7,Atlético-MG,2,1,0,1,3:2,1,3,2013,2
8,Fluminense,2,1,0,1,3:3,0,3,2013,2
9,Criciúma,2,1,0,1,3:3,0,3,2013,2
10,Grêmio,2,1,0,1,2:2,0,3,2013,2
11,Ponte Preta,2,1,0,1,2:2,0,3,2013,2
12,Portuguesa,2,1,0,1,2:2,0,3,2013,2
13,Vasco da Gama,2,1,0,1,2:5,-3,3,2013,2
14,Corinthians,2,0,2,0,2:2,0,2,2013,2
15,Atlético-PR,2,0,1,1,3:4,-1,1,2013,2
16,Santos,2,0,1,1,1:2,-1,1,2013,2
17,Bahia,2,0,1,1,1:3,-2,1,2013,2
18,Flamengo,2,0,1,1,0:2,-2,1,2013,2
19,Goiás,2,0,1,1,1:6,-5,1,2013,2
20,Náutico,2,0,0,2,0:5,-5,0,2013,2
1,São Paulo,3,2,1,0,7:1,6,7,2013,3
2,Vitória,3,2,1,0,7:2,5,7,2013,3
3,Botafogo,3,2,1,0,5:3,2,7,2013,3
4,Fluminense,3,2,0,1,6:3,3,6,2013,3
5,Corinthians,3,1,2,0,3:2,1,5,2013,3
6,Coritiba,3,1,2,0,3:2,1,5,2013,3
7,Cruzeiro,3,1,1,1,8:4,4,4,2013,3
8,Internacional,3,1,1,1,5:4,1,4,2013,3
9,Atlético-MG,3,1,1,1,3:2,1,4,2013,3
10,Portuguesa,3,1,1,1,4:4,0,4,2013,3
11,Grêmio,3,1,1,1,3:3,0,4,2013,3
12,Bahia,3,1,1,1,3:4,-1,4,2013,3
13,Ponte Preta,3,1,0,2,2:3,-1,3,2013,3
14,Criciúma,3,1,0,2,3:6,-3,3,2013,3
15,Vasco da Gama,3,1,0,2,2:7,-5,3,2013,3
16,Atlético-PR,3,0,2,1,5:6,-1,2,2013,3
17,Santos,3,0,2,1,2:3,-1,2,2013,3
18,Flamengo,3,0,2,1,2:4,-2,2,2013,3
19,Goiás,3,0,2,1,2:7,-5,2,2013,3
20,Náutico,3,0,1,2,2:7,-5,1,2013,3
1,Coritiba,4,2,2,0,5:3,2,8,2013,4
2,Cruzeiro,4,2,1,1,9:4,5,7,2013,4
3,São Paulo,4,2,1,1,7:2,5,7,2013,4
4,Vitória,4,2,1,1,7:3,4,7,2013,4
5,Botafogo,4,2,1,1,6:5,1,7,2013,4
6,Grêmio,4,2,1,1,4:3,1,7,2013,4
7,Bahia,4,2,1,1,5:5,0,7,2013,4
8,Fluminense,4,2,0,2,7:5,2,6,2013,4
9,Criciúma,4,2,0,2,6:7,-1,6,2013,4
10,Vasco da Gama,4,2,0,2,4:7,-3,6,2013,4
11,Internacional,4,1,2,1,6:5,1,5,2013,4
12,Atlético-PR,4,1,2,1,9:9,0,5,2013,4
13,Portuguesa,4,1,2,1,5:5,0,5,2013,4
14,Corinthians,4,1,2,1,3:3,0,5,2013,4
15,Goiás,4,1,2,1,3:7,-4,5,2013,4
16,Atlético-MG,4,1,1,2,3:4,-1,4,2013,4
17,Náutico,4,1,1,2,3:7,-4,4,2013,4
18,Ponte Preta,4,1,0,3,5:7,-2,3,2013,4
19,Santos,4,0,2,2,3:6,-3,2,2013,4
20,Flamengo,4,0,2,2,2:5,-3,2,2013,4
1,Coritiba,5,3,2,0,6:3,3,11,2013,5
2,Vitória,5,3,1,1,10:5,5,10,2013,5
3,Botafogo,5,3,1,1,8:5,3,10,2013,5
4,Fluminense,5,3,0,2,9:6,3,9,2013,5
5,Cruzeiro,5,2,2,1,11:6,5,8,2013,5
6,São Paulo,5,2,2,1,8:3,5,8,2013,5
7,Grêmio,5,2,2,1,5:4,1,8,2013,5
8,Bahia,5,2,2,1,6:6,0,8,2013,5
9,Vasco da Gama,5,2,1,2,5:8,-3,7,2013,5
10,Criciúma,5,2,0,3,6:10,-4,6,2013,5
11,Internacional,5,1,3,1,8:7,1,6,2013,5
12,Portuguesa,5,1,3,1,5:5,0,6,2013,5
13,Corinthians,5,1,3,1,3:3,0,6,2013,5
14,Flamengo,5,1,2,2,5:5,0,5,2013,5
15,Atlético-PR,5,1,2,2,11:12,-1,5,2013,5
16,Santos,5,1,2,2,4:6,-2,5,2013,5
17,Goiás,5,1,2,2,4:9,-5,5,2013,5
18,Atlético-MG,5,1,1,3,3:5,-2,4,2013,5
19,Náutico,5,1,1,3,3:8,-5,4,2013,5
20,Ponte Preta,5,1,0,4,5:9,-4,3,2013,5
