Posicao,Clube,J,V,E,D,Gols,SG,Pts,Ano,Rodada
1,Newcastle,1,1,0,0,3:0,3,3,1995,1
2,Aston Villa,1,1,0,0,3:1,2,3,1995,1
3,Nottm Forest,1,1,0,0,4:3,1,3,1995,1
4,Wimbledon FC,1,1,0,0,3:2,1,3,1995,1
5,Leeds,1,1,0,0,2:1,1,3,1995,1
6,Liverpool,1,1,0,0,1:0,1,3,1995,1
7,Blackburn,1,1,0,0,1:0,1,3,1995,1
8,FC Arsenal,1,0,1,0,1:1,0,1,1995,1
9,Tottenham,1,0,1,0,1:1,0,1,1995,1
10,Manchester City,1,0,1,0,1:1,0,1,1995,1
11,Middlesbrough,1,0,1,0,1:1,0,1,1995,1
12,Everton,1,0,1,0,0:0,0,1,1995,1
13,Chelsea,1,0,1,0,0:0,0,1,1995,1
14,Southampton,1,0,0,1,3:4,-1,0,1995,1
15,Bolton,1,0,0,1,2:3,-1,0,1995,1
16,West Ham,1,0,0,1,1:2,-1,0,1995,1
17,Sheff Wed,1,0,0,1,0:1,-1,0,1995,1
18,QPR,1,0,0,1,0:1,-1,0,1995,1
19,Man Utd.,1,0,0,1,1:3,-2,0,1995,1
20,Coventry City,1,0,0,1,0:3,-3,0,1995,1
1,Newcastle,2,2,0,0,6:1,5,6,1995,2
2,Wimbledon FC,2,2,0,0,6:2,4,6,1995,2
3,Aston Villa,2,2,0,0,4:1,3,6,1995,2
4,Leeds,2,2,0,0,3:1,2,6,1995,2
5,FC Arsenal,2,1,1,0,3:1,2,4,1995,2
6,Nottm Forest,2,1,1,0,4:3,1,4,1995,2
7,Blackburn,2,1,0,1,2:2,0,3,1995,2
8,Sheff Wed,2,1,0,1,2:2,0,3,1995,2
9,Liverpool,2,1,0,1,1:1,0,3,1995,2
10,Man Utd.,2,1,0,1,3:4,-1,3,1995,2
11,Coventry City,2,1,0,1,2:4,-2,3,1995,2
12,Middlesbrough,2,0,2,0,1:1,0,2,1995,2
13,Chelsea,2,0,2,0,0:0,0,2,1995,2
14,Southampton,2,0,1,1,3:4,-1,1,1995,2
15,Manchester City,2,0,1,1,2:3,-1,1,1995,2
16,Tottenham,2,0,1,1,1:2,-1,1,1995,2
17,Everton,2,0,1,1,0:2,-2,1,1995,2
18,West Ham,2,0,0,2,2:4,-2,0,1995,2
19,Bolton,2,0,0,2,3:6,-3,0,1995,2
20,QPR,2,0,0,2,0:4,-4,0,1995,2
1,Newcastle,3,3,0,0,8:1,7,9,1995,3
2,Leeds,3,3,0,0,5:1,4,9,1995,3
3,Wimbledon FC,3,2,0,1,7:5,2,6,1995,3
4,Liverpool,3,2,0,1,4:2,2,6,1995,3
5,Man Utd.,3,2,0,1,6:5,1,6,1995,3
6,Aston Villa,3,2,0,1,4:3,1,6,1995,3
7,FC Arsenal,3,1,2,0,3:1,2,5,1995,3
8,Middlesbrough,3,1,2,0,3:1,2,5,1995,3
9,Nottm Forest,3,1,2,0,5:4,1,5,1995,3
10,Everton,3,1,1,1,2:2,0,4,1995,3
11,Coventry City,3,1,1,1,2:4,-2,4,1995,3
12,Blackburn,3,1,0,2,3:4,-1,3,1995,3
13,Bolton,3,1,0,2,5:7,-2,3,1995,3
14,Sheff Wed,3,1,0,2,2:4,-2,3,1995,3
15,QPR,3,1,0,2,1:4,-3,3,1995,3
16,Chelsea,3,0,2,1,0:2,-2,2,1995,3
17,West Ham,3,0,1,2,3:5,-2,1,1995,3
18,Manchester City,3,0,1,2,2:4,-2,1,1995,3
19,Southampton,3,0,1,2,3:6,-3,1,1995,3
20,Tottenham,3,0,1,2,2:5,-3,1,1995,3
1,Newcastle,4,4,0,0,9:1,8,12,1995,4
2,Leeds,4,3,1,0,6:2,4,10,1995,4
3,Liverpool,4,3,0,1,5:2,3,9,1995,4
4,Man Utd.,4,3,0,1,8:6,2,9,1995,4
5,Aston Villa,4,3,0,1,5:3,2,9,1995,4
6,Wimbledon FC,4,2,1,1,9:7,2,7,1995,4
7,Everton,4,2,1,1,4:2,2,7,1995,4
8,FC Arsenal,4,1,3,0,4:2,2,6,1995,4
9,Nottm Forest,4,1,3,0,6:5,1,6,1995,4
10,Middlesbrough,4,1,2,1,3:2,1,5,1995,4
11,Coventry City,4,1,2,1,4:6,-2,5,1995,4
12,Sheff Wed,4,1,1,2,4:6,-2,4,1995,4
13,Blackburn,4,1,0,3,4:6,-2,3,1995,4
14,Chelsea,4,0,3,1,2:4,-2,3,1995,4
15,Bolton,4,1,0,3,5:8,-3,3,1995,4
16,QPR,4,1,0,3,1:5,-4,3,1995,4
17,West Ham,4,0,2,2,4:6,-2,2,1995,4
18,Southampton,4,0,2,2,4:7,-3,2,1995,4
19,Tottenham,4,0,2,2,3:6,-3,2,1995,4
20,Manchester City,4,0,1,3,2:6,-4,1,1995,4
1,Newcastle,5,4,0,1,9:2,7,12,1995,5
2,Man Utd.,5,4,0,1,11:8,3,12,1995,5
3,Wimbledon FC,5,3,1,1,10:7,3,10,1995,5
4,Leeds,5,3,1,1,7:4,3,10,1995,5
5,Aston Villa,5,3,1,1,6:4,2,10,1995,5
6,FC Arsenal,5,2,3,0,5:2,3,9,1995,5
7,Liverpool,5,3,0,2,5:3,2,9,1995,5
8,Nottm Forest,5,1,4,0,7:6,1,7,1995,5
9,Sheff Wed,5,2,1,2,7:6,1,7,1995,5
10,Everton,5,2,1,2,6:5,1,7,1995,5
11,Middlesbrough,5,1,3,1,4:3,1,6,1995,5
12,Chelsea,5,1,3,1,5:5,0,6,1995,5
13,Coventry City,5,1,3,1,5:7,-2,6,1995,5
14,Tottenham,5,1,2,2,5:7,-2,5,1995,5
15,Southampton,5,1,2,2,5:7,-2,5,1995,5
16,Blackburn,5,1,1,3,5:7,-2,4,1995,5
17,Bolton,5,1,1,3,6:9,-3,4,1995,5
18,QPR,5,1,0,4,1:8,-7,3,1995,5
19,West Ham,5,0,2,3,5:9,-4,2,1995,5
20,Manchester City,5,0,1,4,2:7,-5,1,1995,5
1,Newcastle,6,5,0,1,12:3,9,15,1995,6
2,Man Utd.,6,5,0,1,14:8,6,15,1995,6
3,Aston Villa,6,4,1,1,8:4,4,13,1995,6
4,Liverpool,6,4,0,2,8:3,5,12,1995,6
5,FC Arsenal,6,3,3,0,6:2,4,12,1995,6
6,Nottm Forest,6,2,4,0,10:8,2,10,1995,6
7,Wimbledon FC,6,3,1,2,10:9,1,10,1995,6
8,Leeds,6,3,1,2,8:7,1,10,1995,6
9,Chelsea,6,2,3,1,8:5,3,9,1995,6
10,Middlesbrough,6,2,3,1,6:4,2,9,1995,6
11,Tottenham,6,2,2,2,8:8,0,8,1995,6
12,Everton,6,2,1,3,8:8,0,7,1995,6
13,Sheff Wed,6,2,1,3,8:9,-1,7,1995,6
14,Coventry City,6,1,3,2,6:9,-3,6,1995,6
15,QPR,6,2,0,4,4:9,-5,6,1995,6
16,Southampton,6,1,2,3,5:10,-5,5,1995,6
17,Blackburn,6,1,1,4,5:10,-5,4,1995,6
18,Bolton,6,1,1,4,6:12,-6,4,1995,6
19,West Ham,6,0,2,4,5:10,-5,2,1995,6
20,Manchester City,6,0,1,5,3:10,-7,1,1995,6
1,Newcastle,7,6,0,1,14:3,11,18,1995,7
2,Man Utd.,7,5,1,1,14:8,6,16,1995,7
3,Liverpool,7,5,0,2,13:5,8,15,1995,7
4,FC Arsenal,7,4,3,0,10:4,6,15,1995,7
5,Aston Villa,7,4,2,1,9:5,4,14,1995,7
6,Leeds,7,4,1,2,12:9,3,13,1995,7
7,Middlesbrough,7,3,3,1,7:4,3,12,1995,7
8,Nottm Forest,7,2,5,0,11:9,2,11,1995,7
9,Tottenham,7,3,2,2,11:10,1,11,1995,7
10,Wimbledon FC,7,3,1,3,12:13,-1,10,1995,7
11,Chelsea,7,2,3,2,8:7,1,9,1995,7
12,Sheff Wed,7,2,2,3,8:9,-1,8,1995,7
13,Blackburn,7,2,1,4,10:11,-1,7,1995,7
14,Everton,7,2,1,4,9:10,-1,7,1995,7
15,QPR,7,2,0,5,6:12,-6,6,1995,7
16,Coventry City,7,1,3,3,7:14,-7,6,1995,7
17,West Ham,7,1,2,4,7:11,-4,5,1995,7
18,Southampton,7,1,2,4,7:14,-7,5,1995,7
19,Bolton,7,1,1,5,8:17,-9,4,1995,7
20,Manchester City,7,0,1,6,3:11,-8,1,1995,7
1,Newcastle,8,7,0,1,17:4,13,21,1995,8
2,Aston Villa,8,5,2,1,12:5,7,17,1995,8
3,Man Utd.,8,5,2,1,16:10,6,17,1995,8
4,Liverpool,8,5,1,2,15:7,8,16,1995,8
5,Leeds,8,5,1,2,14:9,5,16,1995,8
6,FC Arsenal,8,4,3,1,10:5,5,15,1995,8
7,Middlesbrough,8,4,3,1,9:4,5,15,1995,8
8,Nottm Forest,8,3,5,0,14:9,5,14,1995,8
9,Tottenham,8,4,2,2,14:11,3,14,1995,8
10,Chelsea,8,3,3,2,9:7,2,12,1995,8
11,Wimbledon FC,8,3,1,4,13:16,-3,10,1995,8
12,QPR,8,3,0,5,7:12,-5,9,1995,8
13,Sheff Wed,8,2,2,4,8:11,-3,8,1995,8
14,Everton,8,2,1,5,10:13,-3,7,1995,8
15,Blackburn,8,2,1,5,10:13,-3,7,1995,8
16,West Ham,8,1,3,4,7:11,-4,6,1995,8
17,Southampton,8,1,3,4,7:14,-7,6,1995,8
18,Coventry City,8,1,3,4,7:17,-10,6,1995,8
19,Bolton,8,1,1,6,8:18,-10,4,1995,8
20,Manchester City,8,0,1,7,3:14,-11,1,1995,8
1,Newcastle,9,8,0,1,20:6,14,24,1995,9
2,Man Utd.,9,6,2,1,17:10,7,20,1995,9
3,FC Arsenal,9,5,3,1,13:5,8,18,1995,9
4,Middlesbrough,9,5,3,1,10:4,6,18,1995,9
5,Liverpool,9,5,2,2,15:7,8,17,1995,9
6,Nottm Forest,9,4,5,0,15:9,6,17,1995,9
