Posicao,Clube,J,V,E,D,Gols,SG,Pts,Ano,Rodada
1,Botafogo,1,1,0,0,4:2,2,3,2012,1
2,Internacional,1,1,0,0,2:0,2,3,2012,1
3,Vasco da Gama,1,1,0,0,2:1,1,3,2012,1
4,Figueirense,1,1,0,0,2:1,1,3,2012,1
5,Atlético-MG,1,1,0,0,1:0,1,3,2012,1
6,Fluminense,1,1,0,0,1:0,1,3,2012,1
7,Flamengo,1,0,1,0,1:1,0,1,2012,1
8,Palmeiras,1,0,1,0,1:1,0,1,2012,1
9,Sport,1,0,1,0,1:1,0,1,2012,1
10,Portuguesa,1,0,1,0,1:1,0,1,2012,1
11,Santos,1,0,1,0,0:0,0,1,2012,1
12,Cruzeiro,1,0,1,0,0:0,0,1,2012,1
13,Bahia,1,0,1,0,0:0,0,1,2012,1
14,Atlético-GO,1,0,1,0,0:0,0,1,2012,1
15,Grêmio,1,0,0,1,1:2,-1,0,2012,1
16,Náutico,1,0,0,1,1:2,-1,0,2012,1
17,Corinthians,1,0,0,1,0:1,-1,0,2012,1
18,Ponte Preta,1,0,0,1,0:1,-1,0,2012,1
19,São Paulo,1,0,0,1,2:4,-2,0,2012,1
20,Coritiba,1,0,0,1,0:2,-2,0,2012,1
1,Botafogo,2,2,0,0,7:4,3,6,2012,2
2,Vasco da Gama,2,2,0,0,3:1,2,6,2012,2
3,Atlético-MG,2,2,0,0,2:0,2,6,2012,2
4,Internacional,2,1,1,0,5:3,2,4,2012,2
5,Figueirense,2,1,1,0,4:3,1,4,2012,2
6,Fluminense,2,1,1,0,3:2,1,4,2012,2
7,Grêmio,2,1,0,1,2:2,0,3,2012,2
8,São Paulo,2,1,0,1,3:4,-1,3,2012,2
9,Flamengo,2,0,2,0,4:4,0,2,2012,2
10,Sport,2,0,2,0,1:1,0,2,2012,2
11,Atlético-GO,2,0,2,0,1:1,0,2,2012,2
12,Santos,2,0,2,0,0:0,0,2,2012,2
13,Cruzeiro,2,0,2,0,0:0,0,2,2012,2
14,Palmeiras,2,0,1,1,1:2,-1,1,2012,2
15,Ponte Preta,2,0,1,1,1:2,-1,1,2012,2
16,Náutico,2,0,1,1,1:2,-1,1,2012,2
17,Portuguesa,2,0,1,1,1:2,-1,1,2012,2
18,Bahia,2,0,1,1,0:1,-1,1,2012,2
19,Corinthians,2,0,0,2,0:2,-2,0,2012,2
20,Coritiba,2,0,0,2,2:5,-3,0,2012,2
1,Vasco da Gama,3,3,0,0,7:3,4,9,2012,3
2,Internacional,3,2,1,0,6:3,3,7,2012,3
3,Atlético-MG,3,2,1,0,3:1,2,7,2012,3
4,Botafogo,3,2,0,1,9:7,2,6,2012,3
5,Grêmio,3,2,0,1,3:2,1,6,2012,3
6,Figueirense,3,1,2,0,5:4,1,5,2012,3
7,Fluminense,3,1,2,0,4:3,1,5,2012,3
8,Cruzeiro,3,1,2,0,3:2,1,5,2012,3
9,Sport,3,1,2,0,3:2,1,5,2012,3
10,Coritiba,3,1,0,2,4:5,-1,3,2012,3
11,São Paulo,3,1,0,2,3:5,-2,3,2012,3
12,Flamengo,3,0,3,0,6:6,0,3,2012,3
13,Santos,3,0,3,0,1:1,0,3,2012,3
14,Ponte Preta,3,0,2,1,3:4,-1,2,2012,3
15,Bahia,3,0,2,1,1:2,-1,2,2012,3
16,Atlético-GO,3,0,2,1,1:2,-1,2,2012,3
17,Palmeiras,3,0,1,2,2:4,-2,1,2012,3
