Posicao,Clube,J,V,E,D,Gols,SG,Pts,Ano,Rodada
1,Flamengo,1,1,0,0,3:0,3,3,2023,1
2,Fluminense,1,1,0,0,3:0,3,3,2023,1
3,Athletico-PR,1,1,0,0,2:0,2,3,2023,1
4,Botafogo,1,1,0,0,2:1,1,3,2023,1
5,Corinthians,1,1,0,0,2:1,1,3,2023,1
6,Palmeiras,1,1,0,0,2:1,1,3,2023,1
7,Bragantino,1,1,0,0,2:1,1,3,2023,1
8,Vasco da Gama,1,1,0,0,2:1,1,3,2023,1
9,Grêmio,1,1,0,0,1:0,1,3,2023,1
10,Fortaleza,1,0,1,0,1:1,0,1,2023,1
11,Internacional,1,0,1,0,1:1,0,1,2023,1
12,Atlético-MG,1,0,0,1,1:2,-1,0,2023,1
13,Bahia,1,0,0,1,1:2,-1,0,2023,1
14,Cruzeiro,1,0,0,1,1:2,-1,0,2023,1
15,Cuiabá,1,0,0,1,1:2,-1,0,2023,1
16,São Paulo,1,0,0,1,1:2,-1,0,2023,1
17,Santos,1,0,0,1,0:1,-1,0,2023,1
18,Goiás,1,0,0,1,0:2,-2,0,2023,1
19,América-MG,1,0,0,1,0:3,-3,0,2023,1
20,Coritiba,1,0,0,1,0:3,-3,0,2023,1
1,Fluminense,2,2,0,0,5:0,5,6,2023,2
2,Botafogo,2,2,0,0,4:2,2,6,2023,2
3,Fortaleza,2,1,1,0,4:1,3,4,2023,2
4,Palmeiras,2,1,1,0,4:3,1,4,2023,2
5,Vasco da Gama,2,1,1,0,4:3,1,4,2023,2
6,Internacional,2,1,1,0,3:2,1,4,2023,2
7,Bragantino,2,1,1,0,3:2,1,4,2023,2
8,Flamengo,2,1,0,1,4:2,2,3,2023,2
9,São Paulo,2,1,0,1,4:2,2,3,2023,2
10,Goiás,2,1,0,1,3:3,0,3,2023,2
11,Athletico-PR,2,1,0,1,2:2,0,3,2023,2
12,Cruzeiro,2,1,0,1,2:2,0,3,2023,2
13,Grêmio,2,1,0,1,1:1,0,3,2023,2
14,Corinthians,2,1,0,1,3:4,-1,3,2023,2
15,Cuiabá,2,0,1,1,2:3,-1,1,2023,2
16,Atlético-MG,2,0,1,1,1:2,-1,1,2023,2
17,Santos,2,0,1,1,0:1,-1,1,2023,2
18,Bahia,2,0,0,2,2:4,-2,0,2023,2
19,América-MG,2,0,0,2,0:6,-6,0,2023,2
20,Coritiba,2,0,0,2,0:6,-6,0,2023,2
1,Botafogo,3,3,0,0,7:4,3,9,2023,3
2,Fortaleza,3,2,1,0,8:3,5,7,2023,3
3,Palmeiras,3,2,1,0,6:4,2,7,2023,3
4,Internacional,3,2,1,0,4:2,2,7,2023,3
5,Fluminense,3,2,0,1,7:4,3,6,2023,3
6,Cruzeiro,3,2,0,1,5:2,3,6,2023,3
7,Grêmio,3,2,0,1,3:2,1,6,2023,3
8,São Paulo,3,1,1,1,5:3,2,4,2023,3
9,Vasco da Gama,3,1,1,1,4:4,0,4,2023,3
10,Atlético-MG,3,1,1,1,3:3,0,4,2023,3
11,Santos,3,1,1,1,3:3,0,4,2023,3
12,Bragantino,3,1,1,1,3:5,-2,4,2023,3
13,Flamengo,3,1,0,2,6:5,1,3,2023,3
14,Athletico-PR,3,1,0,2,3:4,-1,3,2023,3
15,Bahia,3,1,0,2,3:4,-1,3,2023,3
16,Goiás,3,1,0,2,3:4,-1,3,2023,3
17,Corinthians,3,1,0,2,4:6,-2,3,2023,3
18,Cuiabá,3,0,1,2,3:5,-2,1,2023,3
19,Coritiba,3,0,1,2,1:7,-6,1,2023,3
20,América-MG,3,0,0,3,2:9,-7,0,2023,3
1,Botafogo,4,4,0,0,9:4,5,12,2023,4
2,Palmeiras,4,3,1,0,11:4,7,10,2023,4
3,Cruzeiro,4,3,0,1,7:3,4,9,2023,4
4,Fortaleza,4,2,2,0,9:4,5,8,2023,4
5,São Paulo,4,2,1,1,7:3,4,7,2023,4
6,Fluminense,4,2,1,1,8:5,3,7,2023,4
7,Grêmio,4,2,1,1,6:5,1,7,2023,4
8,Internacional,4,2,1,1,4:4,0,7,2023,4
9,Bahia,4,2,0,2,6:5,1,6,2023,4
10,Athletico-PR,4,2,0,2,5:5,0,6,2023,4
11,Vasco da Gama,4,1,2,1,5:5,0,5,2023,4
12,Bragantino,4,1,2,1,6:8,-2,5,2023,4
13,Cuiabá,4,1,1,2,5:6,-1,4,2023,4
14,Santos,4,1,1,2,4:5,-1,4,2023,4
15,Corinthians,4,1,1,2,5:7,-2,4,2023,4
16,Atlético-MG,4,1,1,2,3:5,-2,4,2023,4
17,Flamengo,4,1,0,3,7:7,0,3,2023,4
18,Goiás,4,1,0,3,3:9,-6,3,2023,4
19,Coritiba,4,0,1,3,2:10,-8,1,2023,4
20,América-MG,4,0,0,4,3:11,-8,0,2023,4
1,Botafogo,5,5,0,0,12:4,8,15,2023,5
2,Palmeiras,5,4,1,0,15:5,10,13,2023,5
3,Fluminense,5,3,1,1,10:5,5,10,2023,5
