Posicao,Clube,J,V,E,D,Gols,SG,Pts,Ano,Rodada
1,Chelsea,1,1,0,0,4:0,4,3,1999,1
2,Wimbledon FC,1,1,0,0,3:2,1,3,1999,1
3,FC Arsenal,1,1,0,0,2:1,1,3,1999,1
4,Liverpool,1,1,0,0,2:1,1,3,1999,1
5,Southampton,1,1,0,0,1:0,1,3,1999,1
6,West Ham,1,1,0,0,1:0,1,3,1999,1
7,Aston Villa,1,1,0,0,1:0,1,3,1999,1
8,Bradford,1,1,0,0,1:0,1,3,1999,1
9,Everton,1,0,1,0,1:1,0,1,1999,1
10,Man Utd.,1,0,1,0,1:1,0,1,1999,1
11,Derby,1,0,1,0,0:0,0,1,1999,1
12,Leeds,1,0,1,0,0:0,0,1,1999,1
13,Watford,1,0,0,1,2:3,-1,0,1999,1
14,Leicester,1,0,0,1,1:2,-1,0,1999,1
15,Sheff Wed,1,0,0,1,1:2,-1,0,1999,1
16,Tottenham,1,0,0,1,0:1,-1,0,1999,1
17,Middlesbrough,1,0,0,1,0:1,-1,0,1999,1
18,Newcastle,1,0,0,1,0:1,-1,0,1999,1
19,Coventry City,1,0,0,1,0:1,-1,0,1999,1
20,AFC Sunderland,1,0,0,1,0:4,-4,0,1999,1
1,Aston Villa,2,2,0,0,4:0,4,6,1999,2
2,FC Arsenal,2,2,0,0,4:2,2,6,1999,2
3,Liverpool,2,2,0,0,3:1,2,6,1999,2
4,Chelsea,2,1,1,0,5:1,4,4,1999,2
5,Man Utd.,2,1,1,0,5:1,4,4,1999,2
6,Leeds,2,1,1,0,3:0,3,4,1999,2
7,Bradford,2,1,1,0,2:1,1,4,1999,2
8,Tottenham,2,1,0,1,3:2,1,3,1999,2
9,Wimbledon FC,2,1,0,1,5:5,0,3,1999,2
10,Middlesbrough,2,1,0,1,3:3,0,3,1999,2
11,Leicester,2,1,0,1,2:2,0,3,1999,2
12,West Ham,2,1,0,1,1:1,0,3,1999,2
13,AFC Sunderland,2,1,0,1,2:4,-2,3,1999,2
14,Southampton,2,1,0,1,1:3,-2,3,1999,2
15,Derby,2,0,1,1,1:2,-1,1,1999,2
16,Everton,2,0,1,1,1:4,-3,1,1999,2
17,Coventry City,2,0,0,2,0:2,-2,0,1999,2
18,Watford,2,0,0,2,2:5,-3,0,1999,2
19,Newcastle,2,0,0,2,1:4,-3,0,1999,2
20,Sheff Wed,2,0,0,2,1:6,-5,0,1999,2
1,Man Utd.,3,2,1,0,7:1,6,7,1999,3
2,Aston Villa,3,2,1,0,6:2,4,7,1999,3
3,FC Arsenal,3,2,1,0,4:2,2,7,1999,3
4,Tottenham,3,2,0,1,6:4,2,6,1999,3
5,Middlesbrough,3,2,0,1,6:4,2,6,1999,3
6,Liverpool,3,2,0,1,3:2,1,6,1999,3
7,Southampton,3,2,0,1,5:5,0,6,1999,3
8,Chelsea,3,1,2,0,7:3,4,5,1999,3
9,Bradford,3,1,2,0,3:2,1,5,1999,3
10,Leeds,3,1,1,1,3:2,1,4,1999,3
11,Wimbledon FC,3,1,1,1,6:6,0,4,1999,3
12,Leicester,3,1,1,1,4:4,0,4,1999,3
13,West Ham,3,1,1,1,3:3,0,4,1999,3
14,AFC Sunderland,3,1,1,1,2:4,-2,4,1999,3
15,Watford,3,1,0,2,3:5,-2,3,1999,3
16,Coventry City,3,0,1,2,1:3,-2,1,1999,3
17,Derby,3,0,1,2,2:5,-3,1,1999,3
18,Everton,3,0,1,2,3:7,-4,1,1999,3
19,Sheff Wed,3,0,1,2,2:7,-5,1,1999,3
20,Newcastle,3,0,0,3,3:8,-5,0,1999,3
1,Man Utd.,4,3,1,0,9:2,7,10,1999,4
2,Tottenham,4,3,0,1,8:5,3,9,1999,4
3,Middlesbrough,4,3,0,1,7:4,3,9,1999,4
4,Chelsea,4,2,2,0,8:3,5,8,1999,4
5,Aston Villa,4,2,1,1,6:3,3,7,1999,4
6,Leeds,4,2,1,1,5:3,2,7,1999,4
7,FC Arsenal,4,2,1,1,5:4,1,7,1999,4
8,West Ham,4,2,1,1,5:4,1,7,1999,4
9,Liverpool,4,2,0,2,3:3,0,6,1999,4
10,Watford,4,2,0,2,4:5,-1,6,1999,4
11,Southampton,4,2,0,2,6:9,-3,6,1999,4
12,Wimbledon FC,4,1,2,1,9:9,0,5,1999,4
13,Bradford,4,1,2,1,3:3,0,5,1999,4
14,Coventry City,4,1,1,2,3:3,0,4,1999,4
15,Everton,4,1,1,2,7:8,-1,4,1999,4
16,Leicester,4,1,1,2,5:6,-1,4,1999,4
17,AFC Sunderland,4,1,1,2,3:6,-3,4,1999,4
18,Newcastle,4,0,1,3,6:11,-5,1,1999,4
19,Derby,4,0,1,3,2:7,-5,1,1999,4
20,Sheff Wed,4,0,1,3,3:9,-6,1,1999,4
1,Man Utd.,5,4,1,0,11:3,8,13,1999,5
2,Chelsea,5,3,2,0,9:3,6,11,1999,5
3,Aston Villa,5,3,1,1,7:3,4,10,1999,5
4,FC Arsenal,5,3,1,1,7:4,3,10,1999,5
5,West Ham,5,3,1,1,7:4,3,10,1999,5
6,Tottenham,5,3,0,2,8:6,2,9,1999,5
7,Liverpool,5,3,0,2,5:4,1,9,1999,5
8,Middlesbrough,5,3,0,2,7:7,0,9,1999,5
9,Everton,5,2,1,2,11:8,3,7,1999,5
10,Leicester,5,2,1,2,8:6,2,7,1999,5
11,Leeds,5,2,1,2,6:5,1,7,1999,5
12,AFC Sunderland,5,2,1,2,5:7,-2,7,1999,5
13,Watford,5,2,0,3,4:6,-2,6,1999,5
14,Southampton,5,2,0,3,6:11,-5,6,1999,5
15,Bradford,5,1,2,2,3:5,-2,5,1999,5
16,Wimbledon FC,5,1,2,2,9:13,-4,5,1999,5
17,Coventry City,5,1,1,3,4:5,-1,4,1999,5
18,Derby,5,1,1,3,4:7,-3,4,1999,5
19,Newcastle,5,0,1,4,7:13,-6,1,1999,5
20,Sheff Wed,5,0,1,4,3:11,-8,1,1999,5
1,Man Utd.,6,5,1,0,16:4,12,16,1999,6
2,Chelsea,6,4,2,0,10:3,7,14,1999,6
3,West Ham,6,4,1,1,10:4,6,13,1999,6
4,Aston Villa,6,4,1,1,8:3,5,13,1999,6
5,Liverpool,6,4,0,2,7:4,3,12,1999,6
6,Leicester,6,3,1,2,9:6,3,10,1999,6
7,Leeds,6,3,1,2,8:6,2,10,1999,6
8,FC Arsenal,6,3,1,2,7:6,1,10,1999,6
9,Tottenham,6,3,0,3,9:8,1,9,1999,6
10,Middlesbrough,6,3,0,3,7:8,-1,9,1999,6
11,Southampton,6,3,0,3,8:11,-3,9,1999,6
12,AFC Sunderland,6,2,2,2,6:8,-2,8,1999,6
13,Everton,6,2,1,3,11:9,2,7,1999,6
14,Derby,6,2,1,3,5:7,-2,7,1999,6
15,Watford,6,2,0,4,4:7,-3,6,1999,6
16,Coventry City,6,1,2,3,5:6,-1,5,1999,6
17,Wimbledon FC,6,1,2,3,9:14,-5,5,1999,6
18,Bradford,6,1,2,3,3:8,-5,5,1999,6
19,Newcastle,6,0,1,5,8:18,-10,1,1999,6
20,Sheff Wed,6,0,1,5,3:13,-10,1,1999,6
1,Man Utd.,7,6,1,0,19:6,13,19,1999,7
2,Chelsea,7,5,2,0,11:3,8,17,1999,7
3,West Ham,7,5,1,1,11:4,7,16,1999,7
4,Leeds,7,4,1,2,12:9,3,13,1999,7
5,FC Arsenal,7,4,1,2,10:7,3,13,1999,7
6,Aston Villa,7,4,1,2,9:6,3,13,1999,7
7,Liverpool,7,4,0,3,9:7,2,12,1999,7
8,Middlesbrough,7,4,0,3,10:10,0,12,1999,7
9,AFC Sunderland,7,3,2,2,8:8,0,11,1999,7
10,Everton,7,3,1,3,13:9,4,10,1999,7
11,Tottenham,7,3,1,3,10:9,1,10,1999,7
12,Leicester,7,3,1,3,9:8,1,10,1999,7
13,Southampton,7,3,0,4,10:14,-4,9,1999,7
14,Derby,7,2,2,3,7:9,-2,8,1999,7
15,Watford,7,2,0,5,4:8,-4,6,1999,7
16,Wimbledon FC,7,1,3,3,11:16,-5,6,1999,7
17,Bradford,7,1,3,3,4:9,-5,6,1999,7
18,Coventry City,7,1,2,4,8:10,-2,5,1999,7
19,Newcastle,7,0,1,6,8:19,-11,1,1999,7
20,Sheff Wed,7,0,1,6,3:15,-12,1,1999,7
1,Man Utd.,8,6,2,0,20:7,13,20,1999,8
2,Chelsea,8,5,2,1,11:4,7,17,1999,8
3,West Ham,8,5,1,2,11:5,6,16,1999,8
4,Leeds,8,5,1,2,14:9,5,16,1999,8
5,FC Arsenal,8,5,1,2,11:7,4,16,1999,8
6,Aston Villa,8,5,1,2,10:6,4,16,1999,8
7,AFC Sunderland,8,4,2,2,13:8,5,14,1999,8
8,Everton,8,4,1,3,14:9,5,13,1999,8
9,Tottenham,8,4,1,3,13:11,2,13,1999,8
10,Liverpool,8,4,1,3,11:9,2,13,1999,8
11,Middlesbrough,8,4,0,4,10:12,-2,12,1999,8
12,Leicester,8,3,2,3,11:10,1,11,1999,8
13,Watford,8,3,0,5,5:8,-3,9,1999,8
14,Southampton,8,3,0,5,10:15,-5,9,1999,8
15,Derby,8,2,2,4,7:14,-7,8,1999,8
16,Wimbledon FC,8,1,4,3,12:17,-5,7,1999,8
17,Bradford,8,1,3,4,4:10,-6,6,1999,8
18,Coventry City,8,1,2,5,10:13,-3,5,1999,8
19,Newcastle,8,1,1,6,16:19,-3,4,1999,8
20,Sheff Wed,8,0,1,7,3:23,-20,1,1999,8
1,Man Utd.,9,6,3,0,23:10,13,21,1999,9
2,Chelsea,9,6,2,1,12:4,8,20,1999,9
3,Leeds,9,6,1,2,17:11,6,19,1999,9
4,FC Arsenal,9,6,1,2,12:7,5,19,1999,9
5,AFC Sunderland,9,5,2,2,14:8,6,17,1999,9
6,Everton,9,5,1,3,15:9,6,16,1999,9
7,West Ham,9,5,1,3,11:6,5,16,1999,9
8,Aston Villa,9,5,1,3,11:9,2,16,1999,9
9,Leicester,9,4,2,3,14:11,3,14,1999,9
10,Tottenham,9,4,2,3,14:12,2,14,1999,9
11,Liverpool,9,4,1,4,11:10,1,13,1999,9
12,Middlesbrough,9,4,0,5,10:13,-3,12,1999,9
13,Southampton,9,3,1,5,13:18,-5,10,1999,9
14,Watford,9,3,0,6,5:9,-4,9,1999,9
15,Bradford,9,2,3,4,5:10,-5,9,1999,9
16,Coventry City,9,2,2,5,11:13,-2,8,1999,9
17,Wimbledon FC,9,1,5,3,13:18,-5,8,1999,9
18,Derby,9,2,2,5,7:15,-8,8,1999,9
19,Newcastle,9,1,1,7,18:22,-4,4,1999,9
20,Sheff Wed,9,0,1,8,3:24,-21,1,1999,9
1,Chelsea,10,7,2,1,17:4,13,23,1999,10
2,Leeds,10,7,1,2,19:12,7,22,1999,10
3,Man Utd.,10,6,3,1,23:15,8,21,1999,10
4,AFC Sunderland,10,6,2,2,18:8,10,20,1999,10
5,West Ham,10,6,1,3,13:7,6,19,1999,10
6,FC Arsenal,10,6,1,3,13:9,4,19,1999,10
7,Everton,10,5,2,3,16:10,6,17,1999,10
8,Leicester,10,5,2,3,17:13,4,17,1999,10
9,Aston Villa,10,5,2,3,11:9,2,17,1999,10
10,Tottenham,10,4,2,4,16:15,1,14,1999,10
11,Liverpool,10,4,2,4,11:10,1,14,1999,10
12,Middlesbrough,10,4,0,6,11:15,-4,12,1999,10
13,Southampton,10,3,2,5,16:21,-5,11,1999,10
14,Coventry City,10,2,3,5,12:14,-2,9,1999,10
15,Watford,10,3,0,7,6:11,-5,9,1999,10
16,Derby,10,2,3,5,10:18,-8,9,1999,10
17,Bradford,10,2,3,5,5:14,-9,9,1999,10
18,Wimbledon FC,10,1,5,4,14:23,-9,8,1999,10
19,Newcastle,10,2,1,7,20:23,-3,7,1999,10
20,Sheff Wed,10,1,1,8,8:25,-17,4,1999,10
1,Leeds,11,8,1,2,21:12,9,25,1999,11
2,Man Utd.,11,7,3,1,27:16,11,24,1999,11
3,Chelsea,11,7,2,2,17:5,12,23,1999,11
4,AFC Sunderland,11,7,2,2,20:9,11,23,1999,11
5,FC Arsenal,11,7,1,3,17:10,7,22,1999,11
6,Leicester,11,6,2,3,19:14,5,20,1999,11
7,West Ham,11,6,1,4,13:9,4,19,1999,11
8,Everton,11,5,2,4,17:14,3,17,1999,11
9,Tottenham,11,5,2,4,17:15,2,17,1999,11
10,Liverpool,11,5,2,4,12:10,2,17,1999,11
11,Aston Villa,11,5,2,4,12:11,1,17,1999,11
12,Middlesbrough,11,5,0,6,13:15,-2,15,1999,11
13,Coventry City,11,3,3,5,16:15,1,12,1999,11
14,Southampton,11,3,2,6,17:23,-6,11,1999,11
15,Wimbledon FC,11,2,5,4,17:25,-8,11,1999,11
16,Watford,11,3,0,8,7:15,-8,9,1999,11
17,Derby,11,2,3,6,10:19,-9,9,1999,11
18,Bradford,11,2,3,6,7:17,-10,9,1999,11
19,Newcastle,11,2,1,8,21:27,-6,7,1999,11
20,Sheff Wed,11,1,1,9,8:27,-19,4,1999,11
1,Leeds,12,8,2,2,25:16,9,26,1999,12
2,FC Arsenal,12,8,1,3,20:12,8,25,1999,12
3,AFC Sunderland,12,7,3,2,21:10,11,24,1999,12
4,Man Utd.,12,7,3,2,28:19,9,24,1999,12
5,Chelsea,12,7,2,3,19:8,11,23,1999,12
6,Tottenham,12,6,2,4,20:16,4,20,1999,12
7,West Ham,12,6,2,4,14:10,4,20,1999,12
8,Leicester,12,6,2,4,20:17,3,20,1999,12
9,Everton,12,5,3,4,21:18,3,18,1999,12
10,Liverpool,12,5,3,4,13:11,2,18,1999,12
11,Aston Villa,12,5,3,4,13:12,1,18,1999,12
12,Middlesbrough,12,6,0,6,16:16,0,18,1999,12
13,Coventry City,12,3,4,5,16:15,1,13,1999,12
14,Southampton,12,3,3,6,18:24,-6,12,1999,12
15,Wimbledon FC,12,2,6,4,18:26,-8,12,1999,12
16,Bradford,12,3,3,6,10:18,-8,12,1999,12
17,Newcastle,12,3,1,8,23:27,-4,10,1999,12
18,Watford,12,3,0,9,8:18,-10,9,1999,12
19,Derby,12,2,3,7,10:21,-11,9,1999,12
20,Sheff Wed,12,1,2,9,8:27,-19,5,1999,12
1,Leeds,13,9,2,2,26:16,10,29,1999,13
2,Man Utd.,13,8,3,2,31:19,12,27,1999,13
3,AFC Sunderland,13,8,3,2,23:11,12,27,1999,13
4,FC Arsenal,13,8,2,3,20:12,8,26,1999,13
5,Chelsea,13,7,2,4,20:11,9,23,1999,13
6,Leicester,13,7,2,4,23:17,6,23,1999,13
7,Liverpool,13,6,3,4,16:12,4,21,1999,13
8,Middlesbrough,13,7,0,6,18:17,1,21,1999,13
9,Tottenham,13,6,2,5,21:18,3,20,1999,13
10,West Ham,13,6,2,5,14:11,3,20,1999,13
11,Everton,13,5,3,5,22:20,2,18,1999,13
12,Aston Villa,13,5,3,5,13:15,-2,18,1999,13
13,Coventry City,13,4,4,5,20:15,5,16,1999,13
14,Southampton,13,3,4,6,19:25,-6,13,1999,13
15,Wimbledon FC,13,2,7,4,19:27,-8,13,1999,13
16,Derby,13,3,3,7,13:22,-9,12,1999,13
17,Bradford,13,3,3,7,11:21,-10,12,1999,13
18,Newcastle,13,3,2,8,23:27,-4,11,1999,13
19,Watford,13,3,0,10,8:22,-14,9,1999,13
20,Sheff Wed,13,1,2,10,8:30,-22,5,1999,13
1,Man Utd.,14,9,3,2,33:19,14,30,1999,14
2,Leeds,14,9,2,3,26:18,8,29,1999,14
3,AFC Sunderland,14,8,4,2,24:12,12,28,1999,14
4,FC Arsenal,14,8,2,4,21:14,7,26,1999,14
5,Chelsea,14,7,3,4,20:11,9,24,1999,14
6,Liverpool,14,7,3,4,18:12,6,24,1999,14
7,Tottenham,14,7,2,5,23:19,4,23,1999,14
8,Leicester,14,7,2,5,23:19,4,23,1999,14
9,Middlesbrough,14,7,1,6,19:18,1,22,1999,14
10,West Ham,14,6,3,5,14:11,3,21,1999,14
11,Everton,14,5,4,5,23:21,2,19,1999,14
12,Aston Villa,14,5,3,6,13:16,-3,18,1999,14
13,Coventry City,14,4,5,5,21:16,5,17,1999,14
14,Southampton,14,4,4,6,20:25,-5,16,1999,14
15,Wimbledon FC,14,3,7,4,21:27,-6,16,1999,14
16,Bradford,14,3,4,7,12:22,-10,13,1999,14
17,Newcastle,14,3,3,8,24:28,-4,12,1999,14
18,Derby,14,3,3,8,13:24,-11,12,1999,14
19,Watford,14,3,1,10,10:24,-14,10,1999,14
20,Sheff Wed,14,1,3,10,10:32,-22,6,1999,14
1,Man Utd.,15,10,3,2,35:20,15,33,1999,15
2,Leeds,15,10,2,3,28:19,9,32,1999,15
3,FC Arsenal,15,9,2,4,26:15,11,29,1999,15
4,AFC Sunderland,15,8,4,3,24:14,10,28,1999,15
5,Liverpool,15,8,3,4,20:12,8,27,1999,15
6,Leicester,15,8,2,5,25:20,5,26,1999,15
7,Tottenham,15,8,2,5,24:19,5,26,1999,15
8,Chelsea,15,7,4,4,21:12,9,25,1999,15
9,West Ham,15,7,3,5,18:14,4,24,1999,15
10,Middlesbrough,15,7,1,7,20:23,-3,22,1999,15
11,Coventry City,15,5,5,5,23:17,6,20,1999,15
12,Everton,15,5,5,5,24:22,2,20,1999,15
13,Aston Villa,15,5,3,7,14:18,-4,18,1999,15
14,Southampton,15,4,4,7,20:26,-6,16,1999,15
15,Wimbledon FC,15,3,7,5,22:29,-7,16,1999,15
16,Newcastle,15,3,4,8,25:29,-4,13,1999,15
17,Bradford,15,3,4,8,13:24,-11,13,1999,15
18,Derby,15,3,3,9,14:26,-12,12,1999,15
19,Watford,15,3,2,10,11:25,-14,11,1999,15
20,Sheff Wed,15,1,3,11,13:36,-23,6,1999,15
1,Man Utd.,16,11,3,2,36:20,16,36,1999,16
2,Leeds,16,11,2,3,29:19,10,35,1999,16
3,FC Arsenal,16,10,2,4,28:16,12,32,1999,16
4,AFC Sunderland,16,9,4,3,27:16,11,31,1999,16
5,Leicester,16,9,2,5,26:20,6,29,1999,16
6,Chelsea,16,8,4,4,22:12,10,28,1999,16
7,Liverpool,16,8,3,5,20:13,7,27,1999,16
8,West Ham,16,8,3,5,19:14,5,27,1999,16
