Posicao,Clube,J,V,E,D,Gols,SG,Pts,Ano,Rodada
1,São Paulo,1,1,0,0,3:0,3,3,2014,1
2,Fluminense,1,1,0,0,3:0,3,3,2014,1
3,Cruzeiro,1,1,0,0,2:1,1,3,2014,1
4,Palmeiras,1,1,0,0,2:1,1,3,2014,1
5,Atlético-PR,1,1,0,0,1:0,1,3,2014,1
6,Internacional,1,1,0,0,1:0,1,3,2014,1
7,Santos,1,0,1,0,1:1,0,1,2014,1
8,Sport,1,0,1,0,1:1,0,1,2014,1
9,Corinthians,1,0,1,0,0:0,0,1,2014,1
10,Atlético-MG,1,0,1,0,0:0,0,1,2014,1
11,Flamengo,1,0,1,0,0:0,0,1,2014,1
12,Coritiba,1,0,1,0,0:0,0,1,2014,1
13,Goiás,1,0,1,0,0:0,0,1,2014,1
14,Chapecoense,1,0,1,0,0:0,0,1,2014,1
15,Criciúma,1,0,0,1,1:2,-1,0,2014,1
16,Bahia,1,0,0,1,1:2,-1,0,2014,1
17,Grêmio,1,0,0,1,0:1,-1,0,2014,1
18,Vitória,1,0,0,1,0:1,-1,0,2014,1
19,Botafogo,1,0,0,1,0:3,-3,0,2014,1
20,Figueirense,1,0,0,1,0:3,-3,0,2014,1
1,Fluminense,2,2,0,0,4:0,4,6,2014,2
2,São Paulo,2,1,1,0,4:1,3,4,2014,2
3,Corinthians,2,1,1,0,2:0,2,4,2014,2
4,Cruzeiro,2,1,1,0,3:2,1,4,2014,2
5,Atlético-PR,2,1,1,0,3:2,1,4,2014,2
6,Internacional,2,1,1,0,3:2,1,4,2014,2
7,Sport,2,1,1,0,3:2,1,4,2014,2
8,Goiás,2,1,1,0,1:0,1,4,2014,2
9,Bahia,2,1,0,1,3:2,1,3,2014,2
10,Grêmio,2,1,0,1,2:2,0,3,2014,2
11,Palmeiras,2,1,0,1,2:2,0,3,2014,2
12,Santos,2,0,2,0,1:1,0,2,2014,2
13,Coritiba,2,0,2,0,0:0,0,2,2014,2
14,Vitória,2,0,1,1,2:3,-1,1,2014,2
15,Atlético-MG,2,0,1,1,1:2,-1,1,2014,2
16,Chapecoense,2,0,1,1,1:2,-1,1,2014,2
17,Flamengo,2,0,1,1,0:2,-2,1,2014,2
18,Botafogo,2,0,1,1,2:5,-3,1,2014,2
19,Criciúma,2,0,0,2,1:3,-2,0,2014,2
20,Figueirense,2,0,0,2,0:5,-5,0,2014,2
1,Corinthians,3,2,1,0,3:0,3,7,2014,3
2,Cruzeiro,3,2,1,0,6:4,2,7,2014,3
3,Internacional,3,2,1,0,5:3,2,7,2014,3
4,Goiás,3,2,1,0,2:0,2,7,2014,3
5,Fluminense,3,2,0,1,5:2,3,6,2014,3
6,Bahia,3,2,0,1,4:2,2,6,2014,3
7,São Paulo,3,1,2,0,6:3,3,5,2014,3
8,Atlético-PR,3,1,1,1,5:5,0,4,2014,3
9,Flamengo,3,1,1,1,4:4,0,4,2014,3
10,Vitória,3,1,1,1,4:4,0,4,2014,3
11,Sport,3,1,1,1,4:4,0,4,2014,3
12,Grêmio,3,1,1,1,2:2,0,4,2014,3
13,Criciúma,3,1,0,2,2:3,-1,3,2014,3
14,Palmeiras,3,1,0,2,4:6,-2,3,2014,3
15,Coritiba,3,0,3,0,2:2,0,3,2014,3
16,Santos,3,0,3,0,1:1,0,3,2014,3
17,Atlético-MG,3,0,1,2,1:3,-2,1,2014,3
18,Chapecoense,3,0,1,2,1:3,-2,1,2014,3
19,Botafogo,3,0,1,2,2:6,-4,1,2014,3
20,Figueirense,3,0,0,3,0:6,-6,0,2014,3
1,Internacional,4,3,1,0,7:4,3,10,2014,4
2,Fluminense,4,3,0,1,7:2,5,9,2014,4
3,Corinthians,4,2,2,0,4:1,3,8,2014,4
4,Bahia,4,2,1,1,5:3,2,7,2014,4
5,Cruzeiro,4,2,1,1,7:6,1,7,2014,4
6,Sport,4,2,1,1,5:4,1,7,2014,4
7,Grêmio,4,2,1,1,4:3,1,7,2014,4
8,Goiás,4,2,1,1,2:2,0,7,2014,4
9,Palmeiras,4,2,0,2,6:6,0,6,2014,4
10,São Paulo,4,1,3,0,7:4,3,6,2014,4
11,Santos,4,1,3,0,3:1,2,6,2014,4
12,Vitória,4,1,2,1,5:5,0,5,2014,4
13,Botafogo,4,1,1,2,8:6,2,4,2014,4
