Posicao,Clube,J,V,E,D,Gols,SG,Pts,Ano,Rodada
1,Nottm Forest,1,1,0,0,3:0,3,3,1996,1
2,Man Utd.,1,1,0,0,3:0,3,3,1996,1
3,FC Arsenal,1,1,0,0,2:0,2,3,1996,1
4,Everton,1,1,0,0,2:0,2,3,1996,1
5,Tottenham,1,1,0,0,2:0,2,3,1996,1
6,Sheff Wed,1,1,0,0,2:1,1,3,1996,1
7,Derby,1,0,1,0,3:3,0,1,1996,1
8,Liverpool,1,0,1,0,3:3,0,1,1996,1
9,Leeds,1,0,1,0,3:3,0,1,1996,1
10,Middlesbrough,1,0,1,0,3:3,0,1,1996,1
11,Southampton,1,0,1,0,0:0,0,1,1996,1
12,AFC Sunderland,1,0,1,0,0:0,0,1,1996,1
13,Chelsea,1,0,1,0,0:0,0,1,1996,1
14,Leicester,1,0,1,0,0:0,0,1,1996,1
15,Aston Villa,1,0,0,1,1:2,-1,0,1996,1
16,Blackburn,1,0,0,1,0:2,-2,0,1996,1
17,West Ham,1,0,0,1,0:2,-2,0,1996,1
18,Newcastle,1,0,0,1,0:2,-2,0,1996,1
19,Coventry City,1,0,0,1,0:3,-3,0,1996,1
20,Wimbledon FC,1,0,0,1,0:3,-3,0,1996,1
1,Sheff Wed,2,2,0,0,4:1,3,6,1996,2
2,Man Utd.,2,1,1,0,5:2,3,4,1996,2
3,AFC Sunderland,2,1,1,0,4:1,3,4,1996,2
4,Liverpool,2,1,1,0,5:3,2,4,1996,2
5,Everton,2,1,1,0,4:2,2,4,1996,2
6,Tottenham,2,1,1,0,3:1,2,4,1996,2
7,Leicester,2,1,1,0,2:1,1,4,1996,2
8,Chelsea,2,1,1,0,1:0,1,4,1996,2
9,Nottm Forest,2,1,0,1,4:4,0,3,1996,2
10,FC Arsenal,2,1,0,1,2:2,0,3,1996,2
11,Aston Villa,2,1,0,1,2:2,0,3,1996,2
12,Newcastle,2,1,0,1,2:2,0,3,1996,2
13,Derby,2,0,2,0,4:4,0,2,1996,2
14,Middlesbrough,2,0,1,1,3:4,-1,1,1996,2
15,Southampton,2,0,1,1,1:2,-1,1,1996,2
16,Leeds,2,0,1,1,3:5,-2,1,1996,2
17,West Ham,2,0,1,1,1:3,-2,1,1996,2
18,Coventry City,2,0,1,1,1:4,-3,1,1996,2
19,Blackburn,2,0,0,2,0:3,-3,0,1996,2
20,Wimbledon FC,2,0,0,2,0:5,-5,0,1996,2
1,Sheff Wed,3,3,0,0,6:2,4,9,1996,3
2,Chelsea,3,2,1,0,3:0,3,7,1996,3
3,FC Arsenal,3,2,0,1,4:2,2,6,1996,3
4,Aston Villa,3,2,0,1,4:2,2,6,1996,3
5,Man Utd.,3,1,2,0,7:4,3,5,1996,3
6,AFC Sunderland,3,1,2,0,4:1,3,5,1996,3
7,Liverpool,3,1,2,0,5:3,2,5,1996,3
8,Everton,3,1,2,0,4:2,2,5,1996,3
9,Tottenham,3,1,2,0,3:1,2,5,1996,3
10,Nottm Forest,3,1,1,1,5:5,0,4,1996,3
11,Leeds,3,1,1,1,4:5,-1,4,1996,3
12,West Ham,3,1,1,1,3:4,-1,4,1996,3
13,Leicester,3,1,1,1,2:3,-1,4,1996,3
14,Newcastle,3,1,0,2,3:4,-1,3,1996,3
15,Middlesbrough,3,0,2,1,4:5,-1,2,1996,3
16,Derby,3,0,2,1,4:6,-2,2,1996,3
17,Southampton,3,0,1,2,2:4,-2,1,1996,3
18,Blackburn,3,0,1,2,2:5,-3,1,1996,3
19,Coventry City,3,0,1,2,1:6,-5,1,1996,3
20,Wimbledon FC,3,0,0,3,0:6,-6,0,1996,3
1,Sheff Wed,4,4,0,0,8:3,5,12,1996,4
2,Aston Villa,4,3,0,1,5:2,3,9,1996,4
3,Liverpool,4,2,2,0,6:3,3,8,1996,4
4,Chelsea,4,2,2,0,6:3,3,8,1996,4
