Posicao,Clube,J,V,E,D,Gols,SG,Pts,Ano,Rodada
1,Palmeiras,1,1,0,0,4:0,4,3,2016,1
2,Santa Cruz,1,1,0,0,4:1,3,3,2016,1
3,Atlético-MG,1,1,0,0,1:0,1,3,2016,1
4,Coritiba,1,1,0,0,1:0,1,3,2016,1
5,Flamengo,1,1,0,0,1:0,1,3,2016,1
6,Fluminense,1,1,0,0,1:0,1,3,2016,1
7,São Paulo,1,1,0,0,1:0,1,3,2016,1
8,Chapecoense,1,0,1,0,0:0,0,1,2016,1
9,Corinthians,1,0,1,0,0:0,0,1,2016,1
10,Figueirense,1,0,1,0,0:0,0,1,2016,1
11,Grêmio,1,0,1,0,0:0,0,1,2016,1
12,Internacional,1,0,1,0,0:0,0,1,2016,1
13,Ponte Preta,1,0,1,0,0:0,0,1,2016,1
14,América-MG,1,0,0,1,0:1,-1,0,2016,1
15,Botafogo,1,0,0,1,0:1,-1,0,2016,1
16,Cruzeiro,1,0,0,1,0:1,-1,0,2016,1
17,Santos,1,0,0,1,0:1,-1,0,2016,1
18,Sport,1,0,0,1,0:1,-1,0,2016,1
19,Vitória,1,0,0,1,1:4,-3,0,2016,1
20,Atlético-PR,1,0,0,1,0:4,-4,0,2016,1
1,Santa Cruz,2,1,1,0,6:3,3,4,2016,2
2,Chapecoense,2,1,1,0,3:1,2,4,2016,2
3,Fluminense,2,1,1,0,3:2,1,4,2016,2
4,Atlético-MG,2,1,1,0,2:1,1,4,2016,2
5,Internacional,2,1,1,0,2:1,1,4,2016,2
6,Ponte Preta,2,1,1,0,2:1,1,4,2016,2
7,Grêmio,2,1,1,0,1:0,1,4,2016,2
8,Palmeiras,2,1,0,1,5:2,3,3,2016,2
9,Coritiba,2,1,0,1,2:2,0,3,2016,2
10,Santos,2,1,0,1,2:2,0,3,2016,2
11,São Paulo,2,1,0,1,2:2,0,3,2016,2
12,Flamengo,2,1,0,1,1:1,0,3,2016,2
13,Vitória,2,1,0,1,4:6,-2,3,2016,2
14,Figueirense,2,0,2,0,2:2,0,2,2016,2
15,Corinthians,2,0,1,1,2:3,-1,1,2016,2
16,Cruzeiro,2,0,1,1,2:3,-1,1,2016,2
17,Botafogo,2,0,1,1,1:2,-1,1,2016,2
18,Sport,2,0,1,1,1:2,-1,1,2016,2
19,Atlético-PR,2,0,1,1,1:5,-4,1,2016,2
20,América-MG,2,0,0,2,1:4,-3,0,2016,2
1,Santa Cruz,3,2,1,0,10:4,6,7,2016,3
2,Grêmio,3,2,1,0,4:0,4,7,2016,3
3,Internacional,3,2,1,0,3:1,2,7,2016,3
4,Palmeiras,3,2,0,1,7:2,5,6,2016,3
5,Chapecoense,3,1,2,0,5:3,2,5,2016,3
6,Corinthians,3,1,1,1,5:3,2,4,2016,3
7,Santos,3,1,1,1,4:4,0,4,2016,3
8,Botafogo,3,1,1,1,3:3,0,4,2016,3
9,Coritiba,3,1,1,1,3:3,0,4,2016,3
10,Flamengo,3,1,1,1,3:3,0,4,2016,3
11,São Paulo,3,1,1,1,3:3,0,4,2016,3
12,Fluminense,3,1,1,1,3:4,-1,4,2016,3
13,Vitória,3,1,1,1,5:7,-2,4,2016,3
14,Atlético-MG,3,1,1,1,2:4,-2,4,2016,3
15,Ponte Preta,3,1,1,1,2:4,-2,4,2016,3
16,Figueirense,3,0,3,0,4:4,0,3,2016,3
17,Sport,3,0,1,2,1:3,-2,1,2016,3
18,América-MG,3,0,1,2,2:5,-3,1,2016,3
19,Cruzeiro,3,0,1,2,3:7,-4,1,2016,3
20,Atlético-PR,3,0,1,2,2:7,-5,1,2016,3
1,Grêmio,4,3,1,0,6:0,6,10,2016,4
2,Internacional,4,3,1,0,4:1,3,10,2016,4
3,Santa Cruz,4,2,2,0,11:5,6,8,2016,4
4,Corinthians,4,2,1,1,7:3,4,7,2016,4
5,Flamengo,4,2,1,1,5:4,1,7,2016,4
6,São Paulo,4,2,1,1,4:3,1,7,2016,4
7,Fluminense,4,2,1,1,4:4,0,7,2016,4
8,Palmeiras,4,2,0,2,7:3,4,6,2016,4
9,Chapecoense,4,1,3,0,6:4,2,6,2016,4
10,Vitória,4,1,2,1,6:8,-2,5,2016,4
11,Atlético-MG,4,1,2,1,3:5,-2,5,2016,4
12,Santos,4,1,1,2,4:5,-1,4,2016,4
13,Botafogo,4,1,1,2,3:4,-1,4,2016,4
14,Coritiba,4,1,1,2,3:5,-2,4,2016,4
15,Ponte Preta,4,1,1,2,3:6,-3,4,2016,4
16,Atlético-PR,4,1,1,2,4:8,-4,4,2016,4
17,Figueirense,4,0,3,1,5:6,-1,3,2016,4
18,América-MG,4,0,2,2,3:6,-3,2,2016,4
19,Cruzeiro,4,0,2,2,4:8,-4,2,2016,4
20,Sport,4,0,1,3,1:5,-4,1,2016,4
1,Internacional,5,4,1,0,5:1,4,13,2016,5
2,Grêmio,5,3,1,1,9:4,5,10,2016,5
3,Corinthians,5,3,1,1,8:3,5,10,2016,5
4,Flamengo,5,3,1,1,6:4,2,10,2016,5
