Posicao,Clube,J,V,E,D,Gols,SG,Pts,Ano,Rodada
1,São Paulo,1,1,0,0,3:0,3,3,2020,1
2,Athletico-PR,1,1,0,0,2:0,2,3,2020,1
3,Sport,1,1,0,0,3:2,1,3,2020,1
4,Bahia,1,1,0,0,2:1,1,3,2020,1
5,Grêmio,1,1,0,0,1:0,1,3,2020,1
6,Internacional,1,1,0,0,1:0,1,3,2020,1
7,Atlético-MG,1,1,0,0,1:0,1,3,2020,1
8,Santos,1,0,1,0,1:1,0,1,2020,1
9,Palmeiras,1,0,1,0,1:1,0,1,2020,1
10,Vasco da Gama,1,0,1,0,1:1,0,1,2020,1
11,Bragantino,1,0,1,0,1:1,0,1,2020,1
12,Corinthians,1,0,1,0,0:0,0,1,2020,1
13,Atlético-GO,1,0,1,0,0:0,0,1,2020,1
14,Ceará,1,0,0,1,2:3,-1,0,2020,1
15,Botafogo,1,0,0,1,1:2,-1,0,2020,1
16,Flamengo,1,0,0,1,0:1,-1,0,2020,1
17,Fluminense,1,0,0,1,0:1,-1,0,2020,1
18,Coritiba,1,0,0,1,0:1,-1,0,2020,1
19,Fortaleza,1,0,0,1,0:2,-2,0,2020,1
20,Goiás,1,0,0,1,0:3,-3,0,2020,1
1,São Paulo,2,2,0,0,4:0,4,6,2020,2
2,Athletico-PR,2,2,0,0,4:1,3,6,2020,2
3,Internacional,2,2,0,0,3:0,3,6,2020,2
4,Atlético-MG,2,2,0,0,4:2,2,6,2020,2
5,Bahia,2,2,0,0,3:1,2,6,2020,2
6,Atlético-GO,2,1,1,0,3:0,3,4,2020,2
7,Vasco da Gama,2,1,1,0,3:1,2,4,2020,2
8,Grêmio,2,1,1,0,2:1,1,4,2020,2
9,Sport,2,1,0,1,3:4,-1,3,2020,2
10,Palmeiras,2,0,2,0,2:2,0,2,2020,2
11,Bragantino,2,0,2,0,2:2,0,2,2020,2
12,Ceará,2,0,1,1,3:4,-1,1,2020,2
13,Corinthians,2,0,1,1,2:3,-1,1,2020,2
14,Botafogo,2,0,1,1,2:3,-1,1,2020,2
15,Fluminense,2,0,1,1,1:2,-1,1,2020,2
16,Santos,2,0,1,1,1:3,-2,1,2020,2
