Posicao,Clube,J,V,E,D,Gols,SG,Pts,Ano,Rodada
1,Grêmio,1,1,0,0,2:0,2,3,2006,1
2,Ponte Preta,1,1,0,0,3:2,1,3,2006,1
3,São Caetano,1,1,0,0,2:1,1,3,2006,1
4,Fluminense,1,1,0,0,2:1,1,3,2006,1
5,Botafogo,1,1,0,0,1:0,1,3,2006,1
6,São Paulo,1,1,0,0,1:0,1,3,2006,1
7,Juventude,1,1,0,0,1:0,1,3,2006,1
8,Vasco da Gama,1,0,1,0,1:1,0,1,2006,1
9,Internacional,1,0,1,0,1:1,0,1,2006,1
10,Santos,1,0,1,0,0:0,0,1,2006,1
11,Santa Cruz,1,0,1,0,0:0,0,1,2006,1
12,Goiás,1,0,1,0,0:0,0,1,2006,1
13,Figueirense,1,0,1,0,0:0,0,1,2006,1
14,Palmeiras,1,0,0,1,2:3,-1,0,2006,1
15,Cruzeiro,1,0,0,1,1:2,-1,0,2006,1
16,Atlético-PR,1,0,0,1,1:2,-1,0,2006,1
17,Paraná,1,0,0,1,0:1,-1,0,2006,1
18,Flamengo,1,0,0,1,0:1,-1,0,2006,1
19,Fortaleza,1,0,0,1,0:1,-1,0,2006,1
20,Corinthians,1,0,0,1,0:2,-2,0,2006,1
1,Fluminense,2,2,0,0,3:1,2,6,2006,2
2,Figueirense,2,1,1,0,6:1,5,4,2006,2
3,Santos,2,1,1,0,2:0,2,4,2006,2
4,Vasco da Gama,2,1,1,0,3:2,1,4,2006,2
5,Internacional,2,1,1,0,2:1,1,4,2006,2
6,Botafogo,2,1,1,0,1:0,1,4,2006,2
7,Cruzeiro,2,1,0,1,4:3,1,3,2006,2
8,Corinthians,2,1,0,1,3:2,1,3,2006,2
9,Flamengo,2,1,0,1,3:2,1,3,2006,2
10,Ponte Preta,2,1,0,1,4:4,0,3,2006,2
11,Grêmio,2,1,0,1,3:3,0,3,2006,2
12,São Paulo,2,1,0,1,1:1,0,3,2006,2
13,Fortaleza,2,1,0,1,1:1,0,3,2006,2
14,Juventude,2,1,0,1,2:3,-1,3,2006,2
15,São Caetano,2,1,0,1,2:4,-2,3,2006,2
16,Paraná,2,0,1,1,0:1,-1,1,2006,2
17,Santa Cruz,2,0,1,1,0:1,-1,1,2006,2
18,Goiás,2,0,1,1,0:1,-1,1,2006,2
19,Atlético-PR,2,0,0,2,1:4,-3,0,2006,2
20,Palmeiras,2,0,0,2,3:9,-6,0,2006,2
1,Santos,3,2,1,0,4:1,3,7,2006,3
2,Fluminense,3,2,1,0,4:2,2,7,2006,3
3,Internacional,3,2,1,0,3:1,2,7,2006,3
4,São Paulo,3,2,0,1,5:1,4,6,2006,3
5,Cruzeiro,3,2,0,1,6:3,3,6,2006,3
6,Ponte Preta,3,2,0,1,7:6,1,6,2006,3
7,Fortaleza,3,2,0,1,3:2,1,6,2006,3
8,Vasco da Gama,3,1,2,0,4:3,1,5,2006,3
9,Figueirense,3,1,1,1,6:3,3,4,2006,3
10,Paraná,3,1,1,1,5:3,2,4,2006,3
11,Juventude,3,1,1,1,3:4,-1,4,2006,3
12,Botafogo,3,1,1,1,1:4,-3,4,2006,3
13,Atlético-PR,3,1,0,2,5:4,1,3,2006,3
14,Corinthians,3,1,0,2,5:5,0,3,2006,3
15,Flamengo,3,1,0,2,3:3,0,3,2006,3
16,Grêmio,3,1,0,2,5:8,-3,3,2006,3
17,São Caetano,3,1,0,2,3:6,-3,3,2006,3
18,Goiás,3,0,2,1,1:2,-1,2,2006,3
19,Santa Cruz,3,0,1,2,0:5,-5,1,2006,3
20,Palmeiras,3,0,0,3,4:11,-7,0,2006,3
1,Santos,4,3,1,0,6:1,5,10,2006,4
2,Fluminense,4,3,1,0,6:3,3,10,2006,4
3,Internacional,4,3,1,0,5:2,3,10,2006,4
4,São Paulo,4,3,0,1,8:2,6,9,2006,4
5,Cruzeiro,4,3,0,1,8:3,5,9,2006,4
6,Vasco da Gama,4,2,2,0,6:4,2,8,2006,4
7,Ponte Preta,4,2,1,1,8:7,1,7,2006,4
8,Flamengo,4,2,0,2,4:3,1,6,2006,4
9,São Caetano,4,2,0,2,5:6,-1,6,2006,4
10,Fortaleza,4,2,0,2,3:4,-1,6,2006,4
11,Goiás,4,1,2,1,3:3,0,5,2006,4
12,Figueirense,4,1,1,2,7:5,2,4,2006,4
13,Paraná,4,1,1,2,6:5,1,4,2006,4
14,Juventude,4,1,1,2,3:6,-3,4,2006,4
15,Botafogo,4,1,1,2,1:5,-4,4,2006,4
16,Atlético-PR,4,1,0,3,6:6,0,3,2006,4
17,Corinthians,4,1,0,3,6:8,-2,3,2006,4
18,Grêmio,4,1,0,3,6:10,-4,3,2006,4
19,Santa Cruz,4,0,2,2,1:6,-5,2,2006,4
20,Palmeiras,4,0,0,4,4:13,-9,0,2006,4
1,Santos,5,4,1,0,9:2,7,13,2006,5
2,Internacional,5,4,1,0,8:3,5,13,2006,5
3,Cruzeiro,5,3,1,1,9:4,5,10,2006,5
4,Fluminense,5,3,1,1,6:4,2,10,2006,5
5,São Paulo,5,3,0,2,9:5,4,9,2006,5
6,Goiás,5,2,2,1,5:3,2,8,2006,5
7,Vasco da Gama,5,2,2,1,6:6,0,8,2006,5
8,Figueirense,5,2,1,2,8:5,3,7,2006,5
9,Flamengo,5,2,1,2,4:3,1,7,2006,5
10,Ponte Preta,5,2,1,2,9:10,-1,7,2006,5
11,Juventude,5,2,1,2,5:6,-1,7,2006,5
12,Fortaleza,5,2,1,2,3:4,-1,7,2006,5
13,Atlético-PR,5,2,0,3,8:7,1,6,2006,5
14,Corinthians,5,2,0,3,8:9,-1,6,2006,5
15,São Caetano,5,2,0,3,5:8,-3,6,2006,5
16,Botafogo,5,1,2,2,3:7,-4,5,2006,5
17,Paraná,5,1,1,3,7:7,0,4,2006,5
18,Grêmio,5,1,1,3,8:12,-4,4,2006,5
19,Santa Cruz,5,0,2,3,2:8,-6,2,2006,5
20,Palmeiras,5,0,1,4,5:14,-9,1,2006,5
1,Cruzeiro,6,4,1,1,11:5,6,13,2006,6
2,Santos,6,4,1,1,9:3,6,13,2006,6
3,Internacional,6,4,1,1,10:7,3,13,2006,6
4,Fluminense,6,4,1,1,7:4,3,13,2006,6
5,São Paulo,6,4,0,2,10:5,5,12,2006,6
6,Goiás,6,3,2,1,8:5,3,11,2006,6
7,Figueirense,6,3,1,2,12:7,5,10,2006,6
8,Juventude,6,3,1,2,6:6,0,10,2006,6
9,Corinthians,6,3,0,3,12:11,1,9,2006,6
10,Ponte Preta,6,2,2,2,10:11,-1,8,2006,6
11,Fortaleza,6,2,2,2,4:5,-1,8,2006,6
12,Vasco da Gama,6,2,2,2,8:10,-2,8,2006,6
13,Flamengo,6,2,1,3,5:5,0,7,2006,6
14,Atlético-PR,6,2,0,4,10:10,0,6,2006,6
15,São Caetano,6,2,0,4,5:9,-4,6,2006,6
16,Paraná,6,1,2,3,8:8,0,5,2006,6
17,Grêmio,6,1,2,3,9:13,-4,5,2006,6
