Posicao,Clube,J,V,E,D,Gols,SG,Pts,Ano,Rodada
1,Flamengo,1,1,0,0,4:0,4,3,2011,1
2,Atlético-MG,1,1,0,0,3:0,3,3,2011,1
3,Vasco da Gama,1,1,0,0,3:1,2,3,2011,1
4,São Paulo,1,1,0,0,2:0,2,3,2011,1
5,Corinthians,1,1,0,0,2:1,1,3,2011,1
6,América-MG,1,1,0,0,2:1,1,3,2011,1
7,Palmeiras,1,1,0,0,1:0,1,3,2011,1
8,Figueirense,1,1,0,0,1:0,1,3,2011,1
9,Atlético-GO,1,1,0,0,1:0,1,3,2011,1
10,Santos,1,0,1,0,1:1,0,1,2011,1
11,Internacional,1,0,1,0,1:1,0,1,2011,1
12,Grêmio,1,0,0,1,1:2,-1,0,2011,1
13,Bahia,1,0,0,1,1:2,-1,0,2011,1
14,Botafogo,1,0,0,1,0:1,-1,0,2011,1
15,Cruzeiro,1,0,0,1,0:1,-1,0,2011,1
16,Coritiba,1,0,0,1,0:1,-1,0,2011,1
17,Ceará,1,0,0,1,1:3,-2,0,2011,1
18,Fluminense,1,0,0,1,0:2,-2,0,2011,1
19,Atlético-PR,1,0,0,1,0:3,-3,0,2011,1
20,Avaí,1,0,0,1,0:4,-4,0,2011,1
1,Atlético-MG,2,2,0,0,6:1,5,6,2011,2
2,Vasco da Gama,2,2,0,0,6:1,5,6,2011,2
3,São Paulo,2,2,0,0,3:0,3,6,2011,2
4,Corinthians,2,2,0,0,4:2,2,6,2011,2
5,Flamengo,2,1,1,0,7:3,4,4,2011,2
6,Palmeiras,2,1,1,0,2:1,1,4,2011,2
7,Grêmio,2,1,0,1,2:2,0,3,2011,2
8,Botafogo,2,1,0,1,1:1,0,3,2011,2
9,Figueirense,2,1,0,1,1:1,0,3,2011,2
10,Atlético-GO,2,1,0,1,1:1,0,3,2011,2
11,Ceará,2,1,0,1,2:3,-1,3,2011,2
12,Fluminense,2,1,0,1,1:2,-1,3,2011,2
13,América-MG,2,1,0,1,2:4,-2,3,2011,2
14,Bahia,2,0,1,1,4:5,-1,1,2011,2
15,Santos,2,0,1,1,1:2,-1,1,2011,2
16,Cruzeiro,2,0,1,1,1:2,-1,1,2011,2
17,Internacional,2,0,1,1,1:2,-1,1,2011,2
18,Coritiba,2,0,0,2,1:3,-2,0,2011,2
19,Atlético-PR,2,0,0,2,0:4,-4,0,2011,2
20,Avaí,2,0,0,2,1:7,-6,0,2011,2
1,São Paulo,3,3,0,0,4:0,4,9,2011,3
2,Corinthians,3,2,1,0,5:3,2,7,2011,3
3,Palmeiras,3,2,1,0,3:1,2,7,2011,3
4,Atlético-MG,3,2,0,1,6:2,4,6,2011,3
5,Grêmio,3,2,0,1,4:2,2,6,2011,3
6,Figueirense,3,2,0,1,3:1,2,6,2011,3
7,Vasco da Gama,3,2,0,1,7:6,1,6,2011,3
8,Fluminense,3,2,0,1,3:3,0,6,2011,3
9,Flamengo,3,1,2,0,8:4,4,5,2011,3
10,Internacional,3,1,1,1,5:4,1,4,2011,3
11,Santos,3,1,1,1,4:3,1,4,2011,3
12,Botafogo,3,1,1,1,3:3,0,4,2011,3
13,Ceará,3,1,1,1,4:5,-1,4,2011,3
14,Coritiba,3,1,0,2,6:4,2,3,2011,3
15,Atlético-GO,3,1,0,2,1:3,-2,3,2011,3
16,América-MG,3,1,0,2,4:8,-4,3,2011,3
17,Cruzeiro,3,0,1,2,2:4,-2,1,2011,3
18,Bahia,3,0,1,2,4:7,-3,1,2011,3
19,Atlético-PR,3,0,0,3,0:5,-5,0,2011,3
20,Avaí,3,0,0,3,2:10,-8,0,2011,3
1,São Paulo,4,4,0,0,7:1,6,12,2011,4
2,Corinthians,4,3,1,0,7:3,4,10,2011,4
3,Palmeiras,4,2,2,0,5:3,2,8,2011,4
4,Atlético-MG,4,2,1,1,7:3,4,7,2011,4
