Posicao,Clube,J,V,E,D,Gols,SG,Pts,Ano,Rodada
1,Sport,1,1,0,0,4:1,3,3,2015,1
2,Atlético-PR,1,1,0,0,3:0,3,3,2015,1
3,Chapecoense,1,1,0,0,2:1,1,3,2015,1
4,São Paulo,1,1,0,0,2:1,1,3,2015,1
5,Corinthians,1,1,0,0,1:0,1,3,2015,1
6,Fluminense,1,1,0,0,1:0,1,3,2015,1
7,Grêmio,1,0,1,0,3:3,0,1,2015,1
8,Ponte Preta,1,0,1,0,3:3,0,1,2015,1
9,Atlético-MG,1,0,1,0,2:2,0,1,2015,1
10,Palmeiras,1,0,1,0,2:2,0,1,2015,1
11,Avaí,1,0,1,0,1:1,0,1,2015,1
12,Santos,1,0,1,0,1:1,0,1,2015,1
13,Goiás,1,0,1,0,0:0,0,1,2015,1
14,Vasco da Gama,1,0,1,0,0:0,0,1,2015,1
15,Coritiba,1,0,0,1,1:2,-1,0,2015,1
16,Flamengo,1,0,0,1,1:2,-1,0,2015,1
17,Cruzeiro,1,0,0,1,0:1,-1,0,2015,1
18,Joinville,1,0,0,1,0:1,-1,0,2015,1
19,Figueirense,1,0,0,1,1:4,-3,0,2015,1
20,Internacional,1,0,0,1,0:3,-3,0,2015,1
1,Corinthians,2,2,0,0,2:0,2,6,2015,2
2,Atlético-MG,2,1,1,0,6:3,3,4,2015,2
3,Sport,2,1,1,0,6:3,3,4,2015,2
4,Goiás,2,1,1,0,2:0,2,4,2015,2
5,Ponte Preta,2,1,1,0,4:3,1,4,2015,2
6,Santos,2,1,1,0,2:1,1,4,2015,2
7,Atlético-PR,2,1,0,1,3:2,1,3,2015,2
8,Coritiba,2,1,0,1,3:2,1,3,2015,2
9,Chapecoense,2,1,0,1,2:2,0,3,2015,2
10,São Paulo,2,1,0,1,2:2,0,3,2015,2
11,Fluminense,2,1,0,1,2:4,-2,3,2015,2
12,Internacional,2,1,0,1,1:3,-2,3,2015,2
13,Palmeiras,2,0,2,0,2:2,0,2,2015,2
14,Vasco da Gama,2,0,2,0,0:0,0,2,2015,2
15,Flamengo,2,0,1,1,3:4,-1,1,2015,2
16,Avaí,2,0,1,1,1:2,-1,1,2015,2
17,Joinville,2,0,1,1,0:1,-1,1,2015,2
18,Grêmio,2,0,1,1,3:5,-2,1,2015,2
19,Figueirense,2,0,1,1,1:4,-3,1,2015,2
20,Cruzeiro,2,0,0,2,0:2,-2,0,2015,2
1,Sport,3,2,1,0,7:3,4,7,2015,3
2,Goiás,3,2,1,0,3:0,3,7,2015,3
3,Corinthians,3,2,1,0,2:0,2,7,2015,3
4,São Paulo,3,2,0,1,5:2,3,6,2015,3
5,Atlético-PR,3,2,0,1,4:2,2,6,2015,3
6,Chapecoense,3,2,0,1,3:2,1,6,2015,3
7,Ponte Preta,3,1,2,0,5:4,1,5,2015,3
8,Atlético-MG,3,1,1,1,6:4,2,4,2015,3
9,Avaí,3,1,1,1,3:3,0,4,2015,3
10,Santos,3,1,1,1,2:2,0,4,2015,3
11,Grêmio,3,1,1,1,4:5,-1,4,2015,3
12,Fluminense,3,1,1,1,2:4,-2,4,2015,3
13,Internacional,3,1,1,1,2:4,-2,4,2015,3
14,Coritiba,3,1,0,2,3:3,0,3,2015,3
15,Vasco da Gama,3,0,3,0,1:1,0,3,2015,3
16,Palmeiras,3,0,2,1,2:3,-1,2,2015,3
17,Flamengo,3,0,1,2,4:6,-2,1,2015,3
18,Cruzeiro,3,0,1,2,1:3,-2,1,2015,3
19,Figueirense,3,0,1,2,1:5,-4,1,2015,3
20,Joinville,3,0,1,2,0:4,-4,1,2015,3
1,Atlético-PR,4,3,0,1,6:3,3,9,2015,4
2,Sport,4,2,2,0,9:5,4,8,2015,4
3,Ponte Preta,4,2,2,0,8:5,3,8,2015,4
4,Goiás,4,2,2,0,4:1,3,8,2015,4
5,Atlético-MG,4,2,1,1,9:4,5,7,2015,4
6,São Paulo,4,2,1,1,5:2,3,7,2015,4
7,Avaí,4,2,1,1,5:4,1,7,2015,4
8,Corinthians,4,2,1,1,2:2,0,7,2015,4
9,Fluminense,4,2,1,1,5:6,-1,7,2015,4
10,Chapecoense,4,2,0,2,4:5,-1,6,2015,4
11,Palmeiras,4,1,2,1,4:3,1,5,2015,4
12,Santos,4,1,2,1,4:4,0,5,2015,4
13,Grêmio,4,1,2,1,5:6,-1,5,2015,4
14,Internacional,4,1,2,1,2:4,-2,5,2015,4
15,Figueirense,4,1,1,2,3:6,-3,4,2015,4
16,Coritiba,4,1,0,3,4:5,-1,3,2015,4
17,Vasco da Gama,4,0,3,1,1:4,-3,3,2015,4
18,Flamengo,4,0,1,3,6:9,-3,1,2015,4
