Posicao,Clube,J,V,E,D,Gols,SG,Pts,Ano,Rodada
1,Wimbledon FC,1,1,0,0,3:1,2,3,1998,1
2,FC Arsenal,1,1,0,0,2:1,1,3,1998,1
3,Liverpool,1,1,0,0,2:1,1,3,1998,1
4,Coventry City,1,1,0,0,2:1,1,3,1998,1
5,West Ham,1,1,0,0,1:0,1,3,1998,1
6,Man Utd.,1,0,1,0,2:2,0,1,1998,1
7,Leicester,1,0,1,0,2:2,0,1,1998,1
8,Derby,1,0,1,0,0:0,0,1,1998,1
9,Everton,1,0,1,0,0:0,0,1,1998,1
10,Blackburn,1,0,1,0,0:0,0,1,1998,1
11,Charlton,1,0,1,0,0:0,0,1,1998,1
12,Leeds,1,0,1,0,0:0,0,1,1998,1
13,Aston Villa,1,0,1,0,0:0,0,1,1998,1
14,Middlesbrough,1,0,1,0,0:0,0,1,1998,1
15,Newcastle,1,0,1,0,0:0,0,1,1998,1
16,Southampton,1,0,0,1,1:2,-1,0,1998,1
17,Chelsea,1,0,0,1,1:2,-1,0,1998,1
18,Nottm Forest,1,0,0,1,1:2,-1,0,1998,1
19,Sheff Wed,1,0,0,1,0:1,-1,0,1998,1
20,Tottenham,1,0,0,1,1:3,-2,0,1998,1
1,Charlton,2,1,1,0,5:0,5,4,1998,2
2,Leicester,2,1,1,0,4:2,2,4,1998,2
3,Aston Villa,2,1,1,0,3:1,2,4,1998,2
4,Wimbledon FC,2,1,1,0,3:1,2,4,1998,2
5,FC Arsenal,2,1,1,0,2:1,1,4,1998,2
6,Liverpool,2,1,1,0,2:1,1,4,1998,2
7,West Ham,2,1,1,0,1:0,1,4,1998,2
8,Leeds,2,1,1,0,1:0,1,4,1998,2
9,Sheff Wed,2,1,0,1,3:1,2,3,1998,2
10,Nottm Forest,2,1,0,1,2:2,0,3,1998,2
11,Coventry City,2,1,0,1,2:2,0,3,1998,2
12,Man Utd.,2,0,2,0,2:2,0,2,1998,2
13,Newcastle,2,0,2,0,1:1,0,2,1998,2
14,Derby,2,0,2,0,0:0,0,2,1998,2
15,Chelsea,2,0,1,1,2:3,-1,1,1998,2
16,Blackburn,2,0,1,1,0:1,-1,1,1998,2
17,Middlesbrough,2,0,1,1,1:3,-2,1,1998,2
18,Everton,2,0,1,1,0:2,-2,1,1998,2
19,Tottenham,2,0,0,2,1:6,-5,0,1998,2
20,Southampton,2,0,0,2,1:7,-6,0,1998,2
1,Liverpool,3,2,1,0,6:2,4,7,1998,3
2,Aston Villa,3,2,1,0,4:1,3,7,1998,3
3,Nottm Forest,3,2,0,1,4:3,1,6,1998,3
4,Charlton,3,1,2,0,5:0,5,5,1998,3
5,Wimbledon FC,3,1,2,0,4:2,2,5,1998,3
6,FC Arsenal,3,1,2,0,2:1,1,5,1998,3
7,Leeds,3,1,2,0,2:1,1,5,1998,3
8,West Ham,3,1,2,0,1:0,1,5,1998,3
9,Leicester,3,1,1,1,4:3,1,4,1998,3
10,Coventry City,3,1,1,1,2:2,0,4,1998,3
11,Blackburn,3,1,1,1,1:1,0,4,1998,3
12,Sheff Wed,3,1,0,2,3:2,1,3,1998,3
13,Man Utd.,3,0,3,0,3:3,0,3,1998,3
14,Derby,3,0,3,0,1:1,0,3,1998,3
15,Tottenham,3,1,0,2,2:6,-4,3,1998,3
16,Chelsea,3,0,2,1,3:4,-1,2,1998,3
17,Middlesbrough,3,0,2,1,2:4,-2,2,1998,3
18,Newcastle,3,0,2,1,2:5,-3,2,1998,3
19,Everton,3,0,1,2,0:3,-3,1,1998,3
20,Southampton,3,0,0,3,2:9,-7,0,1998,3
1,Liverpool,4,3,1,0,8:2,6,10,1998,4
2,Aston Villa,4,3,1,0,5:1,4,10,1998,4
3,Leeds,4,2,2,0,5:1,4,8,1998,4
4,Wimbledon FC,4,2,2,0,8:5,3,8,1998,4
5,Man Utd.,4,1,3,0,7:4,3,6,1998,4
6,FC Arsenal,4,1,3,0,2:1,1,6,1998,4
7,Derby,4,1,3,0,2:1,1,6,1998,4
8,Nottm Forest,4,2,0,2,4:5,-1,6,1998,4
9,Tottenham,4,2,0,2,4:7,-3,6,1998,4
10,Charlton,4,1,2,1,6:4,2,5,1998,4
11,West Ham,4,1,2,1,4:4,0,5,1998,4
12,Middlesbrough,4,1,2,1,3:4,-1,5,1998,4
13,Leicester,4,1,1,2,4:4,0,4,1998,4
14,Everton,4,1,1,2,2:3,-1,4,1998,4
15,Blackburn,4,1,1,2,2:3,-1,4,1998,4
16,Coventry City,4,1,1,2,2:4,-2,4,1998,4
17,Sheff Wed,4,1,0,3,3:3,0,3,1998,4
18,Chelsea,4,0,3,1,3:4,-1,3,1998,4
19,Newcastle,4,0,2,2,2:6,-4,2,1998,4
20,Southampton,4,0,0,4,2:12,-10,0,1998,4
1,Aston Villa,5,4,1,0,7:1,6,13,1998,5
2,Liverpool,5,3,1,1,9:4,5,10,1998,5
3,Man Utd.,5,2,3,0,9:4,5,9,1998,5
4,Leeds,5,2,3,0,5:1,4,9,1998,5
5,Derby,5,2,3,0,4:2,2,9,1998,5
6,Middlesbrough,5,2,2,1,6:4,2,8,1998,5
7,Wimbledon FC,5,2,2,1,8:7,1,8,1998,5
8,West Ham,5,2,2,1,6:5,1,8,1998,5
9,FC Arsenal,5,1,4,0,3:2,1,7,1998,5
10,Sheff Wed,5,2,0,3,6:3,3,6,1998,5
11,Chelsea,5,1,3,1,5:5,0,6,1998,5
12,Nottm Forest,5,2,0,3,5:7,-2,6,1998,5
13,Tottenham,5,2,0,3,4:10,-6,6,1998,5
14,Charlton,5,1,2,2,7:6,1,5,1998,5
15,Newcastle,5,1,2,2,6:6,0,5,1998,5
