Posicao,Clube,J,V,E,D,Gols,SG,Pts,Ano,Rodada
1,Atlético-PR,1,1,0,0,6:3,3,3,2007,1
2,Sport,1,1,0,0,4:1,3,3,2007,1
3,Paraná,1,1,0,0,3:0,3,3,2007,1
4,Palmeiras,1,1,0,0,4:2,2,3,2007,1
5,São Paulo,1,1,0,0,2:0,2,3,2007,1
6,Botafogo,1,1,0,0,3:2,1,3,2007,1
7,Atlético-MG,1,1,0,0,2:1,1,3,2007,1
8,Corinthians,1,1,0,0,1:0,1,3,2007,1
9,Vasco da Gama,1,1,0,0,1:0,1,3,2007,1
10,Cruzeiro,1,0,1,0,2:2,0,1,2007,1
11,Fluminense,1,0,1,0,2:2,0,1,2007,1
12,Internacional,1,0,0,1,2:3,-1,0,2007,1
13,Náutico,1,0,0,1,1:2,-1,0,2007,1
14,América-RN,1,0,0,1,0:1,-1,0,2007,1
15,Juventude,1,0,0,1,0:1,-1,0,2007,1
16,Flamengo,1,0,0,1,2:4,-2,0,2007,1
17,Goiás,1,0,0,1,0:2,-2,0,2007,1
18,Figueirense,1,0,0,1,3:6,-3,0,2007,1
19,Santos,1,0,0,1,1:4,-3,0,2007,1
20,Grêmio,1,0,0,1,0:3,-3,0,2007,1
1,Atlético-PR,2,2,0,0,8:4,4,6,2007,2
2,Paraná,2,2,0,0,5:1,4,6,2007,2
3,Corinthians,2,2,0,0,4:0,4,6,2007,2
4,Palmeiras,2,2,0,0,6:3,3,6,2007,2
5,Vasco da Gama,2,2,0,0,4:1,3,6,2007,2
6,Botafogo,2,2,0,0,5:3,2,6,2007,2
7,Sport,2,1,0,1,5:4,1,3,2007,2
8,São Paulo,2,1,0,1,2:1,1,3,2007,2
9,Flamengo,2,1,0,1,5:5,0,3,2007,2
10,Atlético-MG,2,1,0,1,3:3,0,3,2007,2
11,América-RN,2,1,0,1,3:3,0,3,2007,2
12,Náutico,2,1,0,1,2:2,0,3,2007,2
13,Grêmio,2,1,0,1,2:3,-1,3,2007,2
14,Fluminense,2,0,1,1,2:4,-2,1,2007,2
15,Cruzeiro,2,0,1,1,2:5,-3,1,2007,2
16,Internacional,2,0,0,2,3:5,-2,0,2007,2
17,Juventude,2,0,0,2,1:3,-2,0,2007,2
18,Figueirense,2,0,0,2,4:8,-4,0,2007,2
19,Santos,2,0,0,2,3:7,-4,0,2007,2
20,Goiás,2,0,0,2,1:5,-4,0,2007,2
1,Paraná,3,3,0,0,9:4,5,9,2007,3
2,Corinthians,3,2,1,0,4:0,4,7,2007,3
3,Vasco da Gama,3,2,1,0,6:3,3,7,2007,3
4,Palmeiras,3,2,1,0,6:3,3,7,2007,3
5,Botafogo,3,2,1,0,7:5,2,7,2007,3
6,Atlético-PR,3,2,0,1,8:5,3,6,2007,3
7,Grêmio,3,2,0,1,3:3,0,6,2007,3
8,Fluminense,3,1,1,1,5:4,1,4,2007,3
9,São Paulo,3,1,1,1,2:1,1,4,2007,3
10,Flamengo,3,1,1,1,7:7,0,4,2007,3
11,Náutico,3,1,1,1,4:4,0,4,2007,3
12,Atlético-MG,3,1,1,1,3:3,0,4,2007,3
13,Sport,3,1,0,2,5:5,0,3,2007,3
14,América-RN,3,1,0,2,3:4,-1,3,2007,3
15,Goiás,3,1,0,2,4:6,-2,3,2007,3
16,Figueirense,3,1,0,2,5:8,-3,3,2007,3
17,Santos,3,1,0,2,4:7,-3,3,2007,3
18,Cruzeiro,3,0,1,2,5:9,-4,1,2007,3
19,Juventude,3,0,0,3,2:6,-4,0,2007,3
20,Internacional,3,0,0,3,3:8,-5,0,2007,3
1,Botafogo,4,3,1,0,10:5,5,10,2007,4
2,Paraná,4,3,0,1,9:5,4,9,2007,4
3,Corinthians,4,2,2,0,5:1,4,8,2007,4
4,Vasco da Gama,4,2,2,0,7:4,3,8,2007,4
5,Atlético-PR,4,2,1,1,9:6,3,7,2007,4
6,São Paulo,4,2,1,1,3:1,2,7,2007,4
7,Palmeiras,4,2,1,1,7:6,1,7,2007,4
8,Figueirense,4,2,0,2,7:9,-2,6,2007,4
9,Grêmio,4,2,0,2,3:6,-3,6,2007,4
10,Fluminense,4,1,2,1,6:5,1,5,2007,4
11,Flamengo,4,1,2,1,9:9,0,5,2007,4
12,Atlético-MG,4,1,2,1,4:4,0,5,2007,4
13,Sport,4,1,1,2,7:7,0,4,2007,4
14,Cruzeiro,4,1,1,2,8:10,-2,4,2007,4
15,Náutico,4,1,1,2,4:6,-2,4,2007,4
16,Santos,4,1,1,2,5:8,-3,4,2007,4
17,Juventude,4,1,0,3,5:6,-1,3,2007,4
18,Goiás,4,1,0,3,5:8,-3,3,2007,4
19,Internacional,4,1,0,3,5:8,-3,3,2007,4
20,América-RN,4,1,0,3,3:7,-4,3,2007,4
1,Vasco da Gama,5,3,2,0,11:4,7,11,2007,5
2,Botafogo,5,3,2,0,11:6,5,11,2007,5
3,Corinthians,5,3,2,0,7:2,5,11,2007,5
4,Paraná,5,3,1,1,13:9,4,10,2007,5
5,Figueirense,5,3,0,2,11:9,2,9,2007,5
6,Fluminense,5,2,2,1,9:5,4,8,2007,5
7,Palmeiras,5,2,2,1,8:7,1,8,2007,5
8,Atlético-MG,5,2,2,1,5:4,1,8,2007,5
9,São Paulo,5,2,1,2,3:2,1,7,2007,5
10,Atlético-PR,5,2,1,2,9:9,0,7,2007,5
11,Goiás,5,2,0,3,8:8,0,6,2007,5
12,Juventude,5,2,0,3,8:8,0,6,2007,5
13,Internacional,5,2,0,3,6:8,-2,6,2007,5
14,Grêmio,5,2,0,3,3:10,-7,6,2007,5
15,Náutico,5,1,2,2,8:10,-2,5,2007,5
16,Flamengo,5,1,2,2,9:13,-4,5,2007,5
17,Cruzeiro,5,1,1,3,10:13,-3,4,2007,5
18,Sport,5,1,1,3,7:10,-3,4,2007,5
19,Santos,5,1,1,3,5:9,-4,4,2007,5
20,América-RN,5,1,0,4,4:9,-5,3,2007,5
1,Botafogo,6,4,2,0,14:7,7,14,2007,6
2,Corinthians,6,3,3,0,7:2,5,12,2007,6
3,Vasco da Gama,6,3,2,1,11:6,5,11,2007,6
4,Paraná,6,3,2,1,13:9,4,11,2007,6
5,Atlético-MG,6,3,2,1,9:5,4,11,2007,6
6,São Paulo,6,3,1,2,5:2,3,10,2007,6
7,Goiás,6,3,0,3,11:9,2,9,2007,6
8,Figueirense,6,3,0,3,12:13,-1,9,2007,6
9,Fluminense,6,2,3,1,10:6,4,9,2007,6
10,Atlético-PR,6,2,2,2,10:10,0,8,2007,6
11,Palmeiras,6,2,2,2,9:10,-1,8,2007,6
12,Cruzeiro,6,2,1,3,12:13,-1,7,2007,6
13,Internacional,6,2,1,3,8:10,-2,7,2007,6
14,Santos,6,2,1,3,7:9,-2,7,2007,6
15,Juventude,6,2,0,4,8:10,-2,6,2007,6
16,Grêmio,6,2,0,4,3:12,-9,6,2007,6
17,Flamengo,6,1,3,2,11:15,-4,6,2007,6
18,Sport,6,1,2,3,9:12,-3,5,2007,6
19,Náutico,6,1,2,3,9:13,-4,5,2007,6
20,América-RN,6,1,1,4,6:11,-5,4,2007,6
1,Corinthians,7,4,3,0,10:4,6,15,2007,7
2,Botafogo,7,4,2,1,16:10,6,14,2007,7
3,Paraná,7,4,2,1,14:9,5,14,2007,7
4,São Paulo,7,4,1,2,7:2,5,13,2007,7
5,Goiás,7,4,0,3,13:9,4,12,2007,7
6,Fluminense,7,3,3,1,11:6,5,12,2007,7
7,Vasco da Gama,7,3,2,2,12:8,4,11,2007,7
8,Atlético-PR,7,3,2,2,12:10,2,11,2007,7
9,Atlético-MG,7,3,2,2,11:9,2,11,2007,7
10,Cruzeiro,7,3,1,3,16:15,1,10,2007,7
11,Figueirense,7,3,1,3,13:14,-1,10,2007,7
12,Grêmio,7,3,0,4,5:12,-7,9,2007,7
13,Flamengo,7,2,3,2,13:16,-3,9,2007,7
14,Palmeiras,7,2,2,3,9:12,-3,8,2007,7
15,Juventude,7,2,1,4,9:11,-2,7,2007,7
16,Internacional,7,2,1,4,8:12,-4,7,2007,7
17,Santos,7,2,1,4,7:11,-4,7,2007,7
18,Sport,7,1,2,4,9:13,-4,5,2007,7
19,Náutico,7,1,2,4,9:15,-6,5,2007,7
20,América-RN,7,1,1,5,6:12,-6,4,2007,7
1,Botafogo,8,5,2,1,18:11,7,17,2007,8
2,Goiás,8,5,0,3,16:9,7,15,2007,8
3,Paraná,8,4,3,1,16:11,5,15,2007,8
4,Corinthians,8,4,3,1,10:5,5,15,2007,8
5,São Paulo,8,4,2,2,7:2,5,14,2007,8
6,Cruzeiro,8,4,1,3,19:16,3,13,2007,8
7,Fluminense,8,3,3,2,12:8,4,12,2007,8
8,Atlético-PR,8,3,3,2,14:12,2,12,2007,8
9,Atlético-MG,8,3,3,2,12:10,2,12,2007,8
10,Flamengo,8,3,3,2,17:16,1,12,2007,8
11,Vasco da Gama,8,3,2,3,13:11,2,11,2007,8
