Posicao,Clube,J,V,E,D,Gols,SG,Pts,Ano,Rodada
1,Bahia,1,1,0,0,6:2,4,3,2017,1
2,Palmeiras,1,1,0,0,4:0,4,3,2017,1
3,Ponte Preta,1,1,0,0,4:0,4,3,2017,1
4,Coritiba,1,1,0,0,4:1,3,3,2017,1
5,Grêmio,1,1,0,0,2:0,2,3,2017,1
6,Fluminense,1,1,0,0,3:2,1,3,2017,1
7,Cruzeiro,1,1,0,0,1:0,1,3,2017,1
8,Atlético-MG,1,0,1,0,1:1,0,1,2017,1
9,Chapecoense,1,0,1,0,1:1,0,1,2017,1
10,Corinthians,1,0,1,0,1:1,0,1,2017,1
11,Flamengo,1,0,1,0,1:1,0,1,2017,1
12,Avaí,1,0,1,0,0:0,0,1,2017,1
13,Vitória,1,0,1,0,0:0,0,1,2017,1
14,Santos,1,0,0,1,2:3,-1,0,2017,1
15,São Paulo,1,0,0,1,0:1,-1,0,2017,1
16,Botafogo,1,0,0,1,0:2,-2,0,2017,1
17,Atlético-GO,1,0,0,1,1:4,-3,0,2017,1
18,Atlético-PR,1,0,0,1,2:6,-4,0,2017,1
19,Sport,1,0,0,1,0:4,-4,0,2017,1
20,Vasco da Gama,1,0,0,1,0:4,-4,0,2017,1
1,Grêmio,2,2,0,0,4:0,4,6,2017,2
2,Fluminense,2,2,0,0,5:3,2,6,2017,2
3,Flamengo,2,1,1,0,4:1,3,4,2017,2
4,Chapecoense,2,1,1,0,2:1,1,4,2017,2
5,Corinthians,2,1,1,0,2:1,1,4,2017,2
6,Cruzeiro,2,1,1,0,2:1,1,4,2017,2
7,Bahia,2,1,0,1,7:4,3,3,2017,2
8,Palmeiras,2,1,0,1,4:1,3,3,2017,2
9,Coritiba,2,1,0,1,4:2,2,3,2017,2
10,Ponte Preta,2,1,0,1,4:2,2,3,2017,2
11,São Paulo,2,1,0,1,2:1,1,3,2017,2
12,Santos,2,1,0,1,3:3,0,3,2017,2
13,Botafogo,2,1,0,1,2:2,0,3,2017,2
14,Vasco da Gama,2,1,0,1,2:5,-3,3,2017,2
15,Atlético-MG,2,0,1,1,2:3,-1,1,2017,2
16,Vitória,2,0,1,1,0:1,-1,1,2017,2
17,Avaí,2,0,1,1,0:2,-2,1,2017,2
18,Sport,2,0,1,1,1:5,-4,1,2017,2
19,Atlético-PR,2,0,0,2,2:8,-6,0,2017,2
20,Atlético-GO,2,0,0,2,1:7,-6,0,2017,2
1,Chapecoense,3,2,1,0,4:1,3,7,2017,3
2,Corinthians,3,2,1,0,3:1,2,7,2017,3
3,Cruzeiro,3,2,1,0,3:1,2,7,2017,3
4,Grêmio,3,2,0,1,7:4,3,6,2017,3
5,Coritiba,3,2,0,1,5:2,3,6,2017,3
6,São Paulo,3,2,0,1,4:1,3,6,2017,3
7,Fluminense,3,2,0,1,7:6,1,6,2017,3
8,Botafogo,3,2,0,1,3:2,1,6,2017,3
9,Vasco da Gama,3,2,0,1,5:7,-2,6,2017,3
